Claim_ID,Policy_ID,Claim_Date,Claim_Severity,Claim_Amount
CLM10080,PID10419,2025-10-20,Minor,40998.2
CLM10081,PID10422,2026-07-09,Minor,44106.6
CLM10082,PID10428,2024-12-15,Minor,44340.51
CLM10083,PID10436,2026-09-20,Minor,25496.98
CLM10084,PID10437,2025-03-29,Minor,64259.63
CLM10085,PID10443,2025-09-23,Minor,51878.72
CLM10086,PID10443,2025-11-14,Moderate,93254.9
CLM10087,PID10449,2024-06-25,Minor,12899.18
CLM10088,PID10455,2025-06-13,Minor,22444.02
CLM10089,PID10457,2025-01-24,Minor,10789.16
CLM10090,PID10461,2025-09-20,Minor,37490.27
CLM10091,PID10462,2026-01-06,Moderate,97827.03
CLM10092,PID10463,2025-11-21,Minor,68424.1
CLM10093,PID10464,2024-03-09,Minor,385208.24
CLM10094,PID10471,2021-01-26,Moderate,73915.28
CLM10095,PID10472,2022-05-31,Minor,33895.62
CLM10096,PID10493,2023-02-20,Minor,37655.21
CLM10097,PID10499,2025-11-24,Minor,41044.99
CLM10098,PID10502,2026-09-22,Minor,97379.46
CLM10099,PID10502,2026-11-08,Moderate,130341.69
CLM10100,PID10520,2026-06-26,Minor,32950.7
CLM10101,PID10522,2025-12-28,Minor,44812.55
CLM10102,PID10527,2026-09-02,Minor,131164.61
CLM10103,PID10559,2025-11-08,Minor,24084.97
CLM10104,PID10564,2026-03-14,Minor,84361.73
CLM10105,PID10564,2026-10-01,Major,407475.69
CLM10106,PID10573,2026-05-24,Moderate,137895.26
CLM10107,PID10573,2026-08-29,Minor,48973.02
CLM10108,PID10576,2025-08-26,Moderate,133913.25
CLM10109,PID10579,2025-07-27,Minor,38105.24
CLM10110,PID10579,2025-01-06,Minor,54102.89
CLM10111,PID10582,2025-06-29,Moderate,100267.75
CLM10112,PID10583,2026-07-03,Moderate,105627.22
CLM10113,PID10584,2026-01-08,Moderate,31066.99
CLM10114,PID10586,2022-02-24,Minor,33915.29
CLM10115,PID10590,2026-06-17,Minor,32106.64
CLM10116,PID10590,2026-05-26,Minor,25701.95
CLM10117,PID10590,2025-11-24,Moderate,50648.83
CLM10118,PID10591,2025-10-30,Moderate,338625.49
CLM10119,PID10600,2025-12-02,Minor,154414.65
CLM10120,PID10601,2026-09-05,Minor,75618.92
CLM10121,PID10602,2025-07-05,Moderate,55695.94
CLM10122,PID10602,2025-08-24,Moderate,51917.05
CLM10123,PID10605,2024-06-18,Moderate,28090.74
CLM10124,PID10608,2026-08-03,Minor,38444.71
CLM10125,PID10610,2026-12-08,Minor,21743.99
CLM10126,PID10610,2026-07-07,Major,119197.97
CLM10127,PID10616,2026-10-14,Minor,48735.83
CLM10128,PID10624,2027-03-02,Moderate,344591.67
CLM10129,PID10624,2027-01-17,Moderate,310367.4
CLM10130,PID10627,2024-11-25,Minor,48557.39
CLM10131,PID10633,2023-04-09,Minor,38191.84
CLM10132,PID10649,2024-11-28,Minor,123964.19
CLM10133,PID10651,2025-09-07,Minor,33810.6
CLM10134,PID10652,2027-06-28,Minor,59237.83
CLM10135,PID10653,2022-01-17,Minor,68124.34
CLM10136,PID10658,2025-10-26,Minor,100849.14
CLM10137,PID10659,2027-03-18,Minor,55500.68
CLM10138,PID10659,2026-08-08,Minor,142241.02
CLM10139,PID10659,2027-01-07,Minor,132862.49
CLM10140,PID10672,2025-02-25,Minor,33687.17
CLM10141,PID10679,2024-07-06,Minor,50995.66
CLM10142,PID10683,2026-03-02,Minor,214727.1
CLM10143,PID10684,2027-03-09,Moderate,372356.26
CLM10144,PID10687,2026-09-18,Minor,21218.03
CLM10145,PID10705,2026-04-27,Minor,86284.86
CLM10146,PID10712,2026-06-11,Minor,133269.53
CLM10147,PID10715,2026-04-01,Minor,130252.42
CLM10148,PID10722,2025-06-29,Minor,31289.56
CLM10149,PID10727,2025-09-05,Minor,68020.95
CLM10150,PID10735,2026-11-14,Moderate,33421.04
CLM10151,PID10736,2025-04-20,Minor,16891.45
CLM10152,PID10739,2026-03-28,Minor,74703.39
CLM10153,PID10747,2026-10-05,Moderate,77757.34
CLM10154,PID10748,2025-11-18,Minor,218294.63
CLM10155,PID10748,2026-04-03,Moderate,435516.24
CLM10156,PID10754,2025-07-30,Minor,63108.5
CLM10157,PID10765,2025-04-26,Minor,13317.78
CLM10158,PID10771,2026-09-05,Minor,141286.71
CLM10159,PID10782,2024-10-12,Major,255952.75
CLM10160,PID10787,2024-06-20,Moderate,63813.94
CLM10161,PID10791,2024-07-20,Minor,20315.72
CLM10162,PID10791,2024-06-10,Minor,13478.24
CLM10163,PID10796,2024-11-11,Minor,26683.78
CLM10164,PID10800,2026-10-05,Moderate,118794.52
CLM10165,PID10806,2024-12-06,Moderate,88817.85
CLM10166,PID10818,2024-06-14,Minor,30660.47
CLM10167,PID10822,2024-06-29,Moderate,141054.05
CLM10168,PID10822,2023-10-12,Minor,66879.06
CLM10169,PID10826,2026-07-23,Moderate,232006.56
CLM10170,PID10827,2024-11-23,Minor,29398.17
CLM10171,PID10828,2025-11-30,Minor,38553.62
CLM10172,PID10834,2024-06-20,Moderate,118737.43
CLM10173,PID10845,2024-08-30,Minor,29028.46
CLM10174,PID10850,2026-02-21,Moderate,69232.11
CLM10175,PID10853,2026-06-05,Moderate,53344.33
CLM10176,PID10860,2026-07-13,Minor,35124.34
CLM10177,PID10865,2024-03-21,Minor,16399.24
CLM10178,PID10865,2023-06-25,Minor,20302.58
CLM10179,PID10866,2024-10-28,Minor,14910.63
CLM10180,PID10872,2026-09-08,Minor,67972.78
CLM10181,PID10873,2026-03-23,Minor,151272.68
CLM10182,PID10887,2025-09-11,Minor,36315.89
CLM10183,PID10898,2026-06-06,Moderate,212996.76
CLM10184,PID10908,2026-12-28,Minor,15384.92
CLM10185,PID10911,2026-07-08,Minor,39989.6
CLM10186,PID10916,2026-02-16,Minor,241917.99
CLM10187,PID10917,2025-07-26,Minor,54816.16
CLM10188,PID10923,2026-02-04,Moderate,78193.98
CLM10189,PID10928,2026-08-04,Minor,125639.12
CLM10190,PID10935,2024-06-15,Moderate,140237.56
CLM10191,PID10938,2020-05-20,Minor,18875.22
CLM10192,PID10941,2023-11-11,Minor,13391.87
CLM10193,PID10941,2023-06-11,Minor,15075.11
CLM10194,PID10941,2023-08-03,Moderate,59527.48
CLM10195,PID10950,2026-02-23,Minor,39292.71
CLM10196,PID10963,2025-02-22,Minor,17961.29
CLM10197,PID10965,2025-03-05,Minor,14669.23
CLM10198,PID10965,2025-04-18,Minor,38662.03
CLM10199,PID10969,2024-12-25,Minor,18445.63
CLM10200,PID10969,2025-01-16,Minor,21692.82
CLM10201,PID10970,2026-02-10,Major,96475.28
CLM10202,PID10970,2026-05-20,Minor,19050.44
CLM10203,PID10973,2025-06-19,Major,94261.17
CLM10204,PID10987,2024-12-22,Minor,50120.12
CLM10205,PID10996,2024-02-12,Moderate,164061.05
CLM10206,PID10999,2027-04-01,Minor,31641.74
CLM10207,PID11005,2025-01-26,Minor,18600.76
CLM10208,PID11007,2026-06-04,Moderate,745054.5
CLM10209,PID11012,2022-05-15,Minor,76383.43
CLM10210,PID11012,2022-05-16,Minor,73271.99
CLM10211,PID11012,2022-03-19,Minor,32184.26
CLM10212,PID11021,2027-01-30,Moderate,116730.61
CLM10213,PID11022,2025-10-21,Minor,48551.41
CLM10214,PID11033,2026-07-07,Minor,45102.73
CLM10215,PID11037,2023-10-30,Moderate,44708.36
CLM10216,PID11037,2024-10-01,Minor,17895.26
CLM10217,PID11039,2026-01-28,Minor,38502.09
CLM10218,PID11045,2020-07-15,Minor,32320.99
CLM10219,PID11046,2021-08-21,Minor,42061.84
CLM10220,PID11048,2024-02-13,Minor,23051.98
CLM10221,PID11055,2027-01-29,Minor,52803.21
CLM10222,PID11055,2027-04-18,Minor,80832.87
CLM10223,PID11055,2027-03-19,Major,327530.27
CLM10224,PID11062,2026-06-28,Moderate,118762.51
CLM10225,PID11067,2026-10-07,Minor,56379.49
CLM10226,PID11082,2022-10-09,Minor,13497.16
CLM10227,PID11084,2025-03-26,Major,104357.66
CLM10228,PID11099,2024-10-19,Minor,16886.6
CLM10229,PID11101,2026-09-24,Minor,20636.98
CLM10230,PID11112,2026-08-01,Major,199252.42
CLM10231,PID11115,2018-05-07,Moderate,35639.98
CLM10232,PID11118,2021-10-18,Minor,14551.74
CLM10233,PID11120,2023-08-09,Minor,14202.36
CLM10234,PID11120,2023-02-22,Minor,22347.65
CLM10235,PID11122,2025-03-19,Minor,18905.74
CLM10236,PID11124,2026-11-10,Minor,70165.39
CLM10237,PID11127,2025-09-16,Minor,28151.07
CLM10238,PID11129,2023-11-22,Minor,57422.06
CLM10239,PID11132,2025-02-12,Minor,77660.69
CLM10240,PID11135,2026-07-30,Minor,67402.25
CLM10241,PID11138,2024-01-19,Moderate,103415.14
CLM10242,PID11142,2026-05-19,Minor,151178.46
CLM10243,PID11154,2025-12-27,Moderate,195931.02
CLM10244,PID11158,2025-09-17,Minor,18901.32
CLM10245,PID11159,2026-07-04,Moderate,37497.27
CLM10246,PID11162,2026-06-16,Minor,56271.08
CLM10247,PID11163,2023-08-28,Minor,19255.38
CLM10248,PID11164,2025-03-19,Moderate,40742.86
CLM10249,PID11165,2025-11-01,Minor,7410.27
CLM10250,PID11169,2024-07-09,Minor,51136.64
CLM10251,PID11172,2022-08-26,Moderate,54234.21
CLM10252,PID11175,2025-10-23,Minor,17627.47
CLM10253,PID11175,2026-01-22,Minor,29234.71
CLM10254,PID11177,2026-04-21,Minor,68364.88
CLM10255,PID11183,2025-01-16,Minor,42618.78
CLM10256,PID11188,2025-11-27,Minor,47348.04
CLM10257,PID11197,2024-07-14,Minor,23946.42
CLM10258,PID11199,2025-11-27,Moderate,54294.26
CLM10259,PID11200,2026-05-14,Moderate,229456.1
CLM10260,PID11209,2026-11-02,Moderate,101416.97
CLM10261,PID11212,2019-05-01,Moderate,77881.01
CLM10262,PID11216,2023-05-06,Major,303141.5
CLM10263,PID11224,2024-07-10,Major,1123410.44
CLM10264,PID11227,2026-08-23,Minor,40328.76
CLM10265,PID11232,2025-04-25,Moderate,63016.03
CLM10266,PID11236,2024-05-26,Minor,66137.15
CLM10267,PID11243,2026-11-11,Minor,60003.11
CLM10268,PID11243,2026-12-22,Minor,75542.12
CLM10269,PID11246,2024-08-14,Minor,76512.41
CLM10270,PID11247,2025-11-02,Moderate,182443.48
CLM10271,PID11254,2025-08-21,Major,296887.05
CLM10272,PID11261,2025-01-16,Minor,19335.55
CLM10273,PID11269,2025-03-16,Moderate,190492.68
CLM10274,PID11269,2024-07-31,Moderate,198070.48
CLM10275,PID11270,2025-08-29,Moderate,205243.22
CLM10276,PID11276,2022-08-13,Minor,16553.0
CLM10277,PID11283,2026-03-10,Moderate,152567.97
CLM10278,PID11283,2026-03-12,Minor,69968.62
CLM10279,PID11283,2026-04-16,Minor,92936.58
CLM10280,PID11290,2026-07-22,Minor,19638.64
CLM10281,PID11293,2026-04-06,Moderate,376695.84
CLM10282,PID11293,2026-05-02,Minor,164228.12
CLM10283,PID11298,2025-09-25,Moderate,18576.85
CLM10284,PID11298,2025-08-20,Minor,11956.67
CLM10285,PID11301,2023-04-30,Minor,24794.91
CLM10286,PID11307,2026-05-26,Moderate,316899.6
CLM10287,PID11308,2026-07-22,Moderate,60417.75
CLM10288,PID11308,2026-02-12,Minor,18784.96
CLM10289,PID11311,2024-07-28,Moderate,90117.16
CLM10290,PID11311,2024-09-22,Minor,34956.35
CLM10291,PID11317,2026-06-20,Minor,13396.22
CLM10292,PID11320,2026-09-02,Major,870972.2
CLM10293,PID11324,2025-03-11,Minor,36459.68
CLM10294,PID11333,2026-09-04,Moderate,224062.02
CLM10295,PID11346,2026-04-28,Moderate,72126.6
CLM10296,PID11346,2026-03-25,Minor,27071.65
CLM10297,PID11346,2026-03-08,Minor,26108.56
CLM10298,PID11351,2025-11-25,Minor,36353.2
CLM10299,PID11355,2026-07-21,Minor,17387.57
CLM10300,PID11356,2026-06-22,Minor,121698.08
CLM10301,PID11357,2026-04-24,Minor,57614.16
CLM10302,PID11365,2026-08-10,Minor,29433.26
CLM10303,PID11380,2025-12-26,Moderate,55354.03
CLM10304,PID11399,2025-07-30,Moderate,180011.43
CLM10305,PID11399,2025-08-25,Moderate,127276.44
CLM10306,PID11402,2024-08-25,Minor,99611.33
CLM10307,PID11404,2026-12-27,Moderate,290227.68
CLM10308,PID11410,2026-02-10,Minor,224443.3
CLM10309,PID11410,2025-08-04,Moderate,377223.38
CLM10310,PID11418,2026-06-30,Minor,78576.19
CLM10311,PID11418,2026-06-17,Minor,144778.75
CLM10312,PID11425,2023-05-10,Minor,16682.07
CLM10313,PID11426,2024-08-18,Minor,30841.11
CLM10314,PID11432,2026-10-25,Minor,6207.17
CLM10315,PID11441,2026-04-07,Minor,17991.4
CLM10316,PID11442,2022-06-08,Minor,54268.48
CLM10317,PID11446,2026-09-18,Minor,49063.8
CLM10318,PID11451,2024-09-18,Minor,97952.86
CLM10319,PID11466,2026-04-04,Minor,15318.36
CLM10320,PID11467,2025-11-30,Minor,18197.17
CLM10321,PID11471,2024-12-19,Minor,29743.11
CLM10322,PID11472,2025-12-10,Minor,55270.42
CLM10323,PID11474,2023-10-26,Moderate,67288.17
CLM10324,PID11474,2023-07-12,Minor,32773.12
CLM10325,PID11476,2025-07-05,Minor,11567.42
CLM10326,PID11478,2025-12-27,Minor,17966.54
CLM10327,PID11484,2026-07-12,Minor,14580.34
CLM10328,PID11484,2026-01-15,Minor,13021.78
CLM10329,PID11492,2025-02-20,Moderate,138422.59
CLM10330,PID11495,2026-03-28,Minor,216834.78
CLM10331,PID11498,2026-02-13,Minor,69345.11
CLM10332,PID11502,2025-06-10,Minor,41685.42
CLM10333,PID11502,2025-08-02,Minor,39311.12
CLM10334,PID11510,2027-02-17,Moderate,49914.28
CLM10335,PID11515,2027-03-16,Minor,68640.4
CLM10336,PID11518,2025-09-26,Moderate,51265.33
CLM10337,PID11532,2026-11-22,Minor,165247.27
CLM10338,PID11553,2025-04-08,Moderate,89270.14
CLM10339,PID11553,2025-06-08,Moderate,68515.65
CLM10340,PID11556,2026-03-07,Minor,57148.16
CLM10341,PID11557,2026-06-19,Minor,43589.57
CLM10342,PID11563,2023-04-02,Moderate,139906.89
CLM10343,PID11575,2025-05-27,Moderate,92992.61
CLM10344,PID11576,2026-03-10,Minor,41737.12
CLM10345,PID11578,2026-06-15,Minor,47775.36
CLM10346,PID11582,2024-07-19,Minor,32512.19
CLM10347,PID11592,2025-07-15,Minor,65875.89
CLM10348,PID11592,2025-05-20,Minor,98926.09
CLM10349,PID11598,2024-09-22,Minor,27467.24
CLM10350,PID11598,2025-06-04,Minor,33518.53
CLM10351,PID11600,2025-10-03,Moderate,93035.53
CLM10352,PID11603,2026-06-09,Minor,54552.47
CLM10353,PID11612,2025-09-24,Moderate,62084.29
CLM10354,PID11612,2025-11-30,Minor,14474.35
CLM10355,PID11619,2025-06-18,Minor,44570.87
CLM10356,PID11619,2025-09-23,Minor,18826.58
CLM10357,PID11621,2026-02-01,Minor,21657.7
CLM10358,PID11621,2026-06-21,Minor,14833.96
CLM10359,PID11624,2025-10-19,Moderate,77823.44
CLM10360,PID11629,2025-03-04,Minor,56805.48
CLM10361,PID11631,2026-12-22,Minor,91735.46
CLM10362,PID11634,2026-08-30,Minor,92962.92
CLM10363,PID11645,2026-08-05,Moderate,145116.04
CLM10364,PID11645,2027-01-20,Minor,49917.6
CLM10365,PID11645,2026-08-06,Minor,84257.02
CLM10366,PID11651,2022-10-12,Minor,27757.45
CLM10367,PID11655,2027-03-14,Minor,47822.98
CLM10368,PID11655,2027-04-02,Minor,42101.39
CLM10369,PID11659,2020-12-06,Minor,23300.04
CLM10370,PID11662,2024-08-01,Minor,31533.78
CLM10371,PID11664,2026-07-11,Minor,23286.7
CLM10372,PID11664,2026-05-14,Minor,17885.84
CLM10373,PID11665,2026-02-23,Minor,45086.01
CLM10374,PID11669,2025-07-30,Minor,26972.43
CLM10375,PID11671,2025-09-29,Moderate,99991.84
CLM10376,PID11673,2025-01-26,Moderate,257589.33
CLM10377,PID11675,2026-09-25,Minor,102218.09
CLM10378,PID11676,2025-09-23,Moderate,286454.2
CLM10379,PID11683,2024-07-09,Minor,17923.55
CLM10380,PID11683,2024-10-10,Minor,12300.97
CLM10381,PID11684,2025-03-14,Moderate,64497.68
CLM10382,PID11685,2026-07-04,Minor,29344.78
CLM10383,PID11688,2025-10-05,Minor,49793.14
CLM10384,PID11699,2027-02-03,Minor,25152.0
CLM10385,PID11700,2024-07-16,Minor,289717.19
CLM10386,PID11700,2025-04-20,Minor,257443.3
CLM10387,PID11703,2025-07-01,Moderate,134550.84
CLM10388,PID11710,2026-10-07,Minor,56380.81
CLM10389,PID11712,2025-08-17,Moderate,90810.75
CLM10390,PID11716,2026-01-07,Moderate,74899.94
CLM10391,PID11717,2026-01-21,Minor,28948.36
CLM10392,PID11727,2025-04-20,Minor,40885.3
CLM10393,PID11728,2027-02-21,Minor,26488.22
CLM10394,PID11731,2025-07-04,Minor,31022.32
CLM10395,PID11737,2025-06-12,Moderate,67543.45
CLM10396,PID11740,2025-10-15,Moderate,119096.33
CLM10397,PID11745,2025-04-07,Minor,53155.47
CLM10398,PID11745,2025-11-19,Minor,26186.39
CLM10399,PID11765,2024-12-24,Moderate,822010.17
CLM10400,PID11772,2026-02-21,Moderate,202745.69
CLM10401,PID11773,2023-09-22,Minor,23144.79
CLM10402,PID11781,2026-07-19,Minor,49092.35
CLM10403,PID11796,2026-08-31,Minor,128973.23
CLM10404,PID11797,2022-10-25,Minor,23543.52
CLM10405,PID11797,2023-02-13,Minor,24420.27
CLM10406,PID11816,2023-11-30,Moderate,128482.86
CLM10407,PID11819,2023-02-24,Moderate,122055.87
CLM10408,PID11823,2023-12-01,Moderate,303082.3
CLM10409,PID11826,2024-02-16,Moderate,119363.6
CLM10410,PID11827,2025-08-08,Moderate,70385.96
CLM10411,PID11834,2027-04-24,Minor,32922.33
CLM10412,PID11835,2026-06-26,Minor,46440.23
CLM10413,PID11838,2026-05-30,Minor,48387.49
CLM10414,PID11842,2027-01-13,Minor,29298.62
CLM10415,PID11843,2025-11-11,Minor,96897.23
CLM10416,PID11843,2025-09-29,Minor,76129.2
CLM10417,PID11847,2026-09-07,Minor,42250.99
CLM10418,PID11851,2025-11-14,Minor,34954.11
CLM10419,PID11858,2026-02-06,Minor,65739.85
CLM10420,PID11866,2024-03-21,Major,122781.57
CLM10421,PID11867,2025-02-04,Minor,27681.33
CLM10422,PID11867,2024-12-30,Minor,27329.88
CLM10423,PID11868,2025-09-13,Major,83450.65
CLM10424,PID11873,2025-12-28,Moderate,244943.51
CLM10425,PID11878,2026-03-07,Minor,69477.19
CLM10426,PID11886,2026-09-04,Minor,18938.08
CLM10427,PID11887,2025-02-07,Minor,101467.38
CLM10428,PID11895,2023-06-07,Minor,25679.75
CLM10429,PID11898,2025-12-06,Minor,42720.5
CLM10430,PID11900,2024-04-25,Minor,87273.71
CLM10431,PID11905,2026-04-30,Moderate,33457.68
CLM10432,PID11906,2026-04-04,Minor,16674.56
CLM10433,PID11906,2026-02-28,Minor,17441.22
CLM10434,PID11912,2026-11-29,Moderate,136484.99
CLM10435,PID11932,2026-08-31,Minor,85338.17
CLM10436,PID11933,2026-09-12,Minor,28138.94
CLM10437,PID11936,2025-02-22,Minor,57974.6
CLM10438,PID11937,2026-05-26,Minor,70092.85
CLM10439,PID11943,2024-01-31,Minor,27267.05
CLM10440,PID11943,2024-01-08,Minor,32299.47
CLM10441,PID11943,2024-11-12,Minor,16357.63
CLM10442,PID11949,2025-05-15,Major,115212.58
CLM10443,PID11953,2026-06-29,Minor,87966.82
CLM10444,PID11961,2022-06-19,Minor,20793.4
CLM10445,PID11964,2025-12-20,Moderate,35541.62
CLM10446,PID11971,2025-07-03,Minor,22687.1
CLM10447,PID11972,2026-05-03,Minor,28585.67
CLM10448,PID11975,2025-09-16,Moderate,589633.38
CLM10449,PID11993,2025-03-01,Minor,38232.74
CLM10450,PID11997,2025-07-09,Minor,46592.28
CLM10451,PID11998,2026-08-29,Minor,38111.31
CLM10452,PID12005,2026-10-15,Minor,111491.0
CLM10453,PID12009,2025-12-20,Minor,38524.85
CLM10454,PID12013,2023-05-12,Moderate,90229.73
CLM10455,PID12024,2026-01-26,Moderate,325780.02
CLM10456,PID12032,2025-11-26,Major,311100.81
CLM10457,PID12035,2025-05-13,Minor,11289.53
CLM10458,PID12041,2026-05-15,Moderate,132200.5
CLM10459,PID12051,2021-12-04,Minor,25085.16
CLM10460,PID12051,2021-05-19,Moderate,44807.64
CLM10461,PID12052,2023-03-16,Minor,14932.14
CLM10462,PID12056,2027-03-26,Minor,28103.51
CLM10463,PID12056,2026-10-23,Minor,31749.12
CLM10464,PID12057,2024-07-12,Moderate,111011.88
CLM10465,PID12057,2024-07-21,Minor,40567.51
CLM10466,PID12062,2023-12-31,Minor,38809.26
CLM10467,PID12067,2026-09-22,Minor,40404.02
CLM10468,PID12071,2026-02-18,Minor,41229.27
CLM10469,PID12080,2026-05-15,Moderate,148980.9
CLM10470,PID12083,2026-03-07,Major,218153.39
CLM10471,PID12088,2026-03-27,Minor,32745.69
CLM10472,PID12090,2026-03-06,Minor,58935.14
CLM10473,PID12093,2026-08-29,Minor,51967.68
CLM10474,PID12093,2026-06-15,Minor,74528.4
CLM10475,PID12095,2023-05-30,Moderate,70933.22
CLM10476,PID12100,2027-03-04,Moderate,57623.3
CLM10477,PID12105,2025-04-06,Minor,13655.03
CLM10478,PID12108,2026-01-12,Moderate,101334.72
CLM10479,PID12108,2026-04-05,Minor,29395.61
CLM10480,PID12111,2023-10-19,Minor,58812.28
CLM10481,PID12112,2025-01-23,Minor,38809.69
CLM10482,PID12118,2025-08-26,Moderate,186363.64
CLM10483,PID12130,2026-09-02,Minor,28045.75
CLM10484,PID12137,2020-08-02,Minor,51980.29
CLM10485,PID12141,2025-01-14,Moderate,73080.12
CLM10486,PID12144,2026-06-28,Minor,34080.5
CLM10487,PID12148,2027-01-25,Minor,35237.38
CLM10488,PID12149,2025-10-24,Moderate,119133.25
CLM10489,PID12152,2026-11-29,Moderate,254319.77
CLM10490,PID12162,2024-12-01,Minor,18552.02
CLM10491,PID12163,2026-09-03,Moderate,59700.92
CLM10492,PID12180,2027-01-22,Moderate,217862.4
CLM10493,PID12195,2025-10-13,Minor,11337.95
CLM10494,PID12198,2022-11-24,Moderate,131774.52
CLM10495,PID12199,2024-03-06,Minor,61312.1
CLM10496,PID12204,2025-08-07,Minor,59170.41
CLM10497,PID12205,2027-01-24,Moderate,106536.93
CLM10498,PID12207,2024-06-04,Minor,59134.8
CLM10499,PID12209,2025-11-18,Moderate,109670.44
CLM10500,PID12210,2026-05-26,Minor,28684.44
CLM10501,PID12214,2023-10-20,Moderate,73764.67
CLM10502,PID12223,2024-07-31,Minor,46035.66
CLM10503,PID12226,2024-02-25,Minor,77940.62
CLM10504,PID12235,2025-11-17,Minor,26192.68
CLM10505,PID12239,2024-09-28,Moderate,79498.94
CLM10506,PID12243,2026-11-13,Minor,19141.0
CLM10507,PID12244,2021-10-09,Major,64094.78
CLM10508,PID12248,2026-01-07,Minor,17533.08
CLM10509,PID12253,2026-01-24,Minor,64952.62
CLM10510,PID12261,2026-01-19,Minor,30806.88
