Vehicle_ID,Customer_ID,Registration_Number,RTO,Make,Model,Vehicle_Type,Fuel_Type,Engine_CC,Manufacturing_Year,Vehicle_Age,IDV
VEH10036,CUST10029,JK12OV3426,JK12,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2022,4,396969
VEH10037,CUST10030,JK14XF5088,JK14,Honda,City,Sedan,Petrol,1498,2019,7,687204
VEH10038,CUST10031,JK02YG3662,JK02,Toyota,Innova Hycross,MPV,Petrol,1987,2012,14,766161
VEH10039,CUST10032,JK12UK5065,JK12,Mahindra,Thar,SUV,Petrol,2184,2023,3,1120786
VEH10040,CUST10033,JK02FX6728,JK02,Toyota,Innova Hycross,MPV,Petrol,1987,2023,3,1867252
VEH10041,CUST10033,JK02KH2137,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2012,14,171025
VEH10042,CUST10034,JK02YC5279,JK02,Hyundai,i20,Hatchback,Petrol,1197,2024,2,416045
VEH10043,CUST10035,JK02LZ2894,JK02,Hyundai,i20,Hatchback,Petrol,1197,2022,4,380128
VEH10044,CUST10036,JK02JB6409,JK02,Hyundai,Venue,SUV,Petrol,1197,2020,6,456709
VEH10045,CUST10037,JK02KH3085,JK02,Tata,Altroz,Hatchback,CNG,1199,2024,2,639024
VEH10046,CUST10038,JK20KV5978,JK20,Toyota,Fortuner,SUV,Petrol,2755,2023,3,3802842
VEH10047,CUST10039,JK04LF8752,JK04,Maruti Suzuki,Brezza,SUV,Petrol,1462,2017,9,313628
VEH10048,CUST10040,JK08CY4848,JK08,Hyundai,i20,Hatchback,Petrol,1197,2019,7,369148
VEH10049,CUST10041,JK04ZP2193,JK04,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2022,4,525972
VEH10050,CUST10042,JK02DR2746,JK02,Hyundai,Venue,SUV,Petrol,1197,2018,8,309550
VEH10051,CUST10043,JK02BG2988,JK02,Mahindra,XUV700,SUV,Diesel,1999,2022,4,1920006
VEH10052,CUST10043,JK02YX9270,JK02,Hyundai,i20,Hatchback,Petrol,1197,2022,4,582237
VEH10053,CUST10044,JK20GG5543,JK20,Toyota,Glanza,Hatchback,CNG,1197,2018,8,325008
VEH10054,CUST10045,JK08GI9849,JK08,Hyundai,i20,Hatchback,Petrol,1197,2025,1,528059
VEH10055,CUST10046,JK02BK9890,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2022,4,365064
VEH10056,CUST10047,JK02WT7232,JK02,Hyundai,Creta,SUV,Diesel,1497,2022,4,727870
VEH10057,CUST10047,JK02NT4613,JK02,Mahindra,XUV700,SUV,Diesel,1999,2021,5,1357007
VEH10058,CUST10048,JK02SV3091,JK02,Hyundai,Verna,Sedan,Petrol,1497,2012,14,303290
VEH10059,CUST10049,JK02QD8564,JK02,Tata,Nexon,SUV,Diesel,1199,2024,2,878015
VEH10060,CUST10050,JK08TJ7906,JK08,Hyundai,i20,Hatchback,Petrol,1197,2023,3,522603
VEH10061,CUST10051,JK02FB1659,JK02,Hyundai,i20,Hatchback,Petrol,1197,2018,8,211582
VEH10062,CUST10052,JK04DR4571,JK04,Tata,Punch,SUV,CNG,1199,2022,4,601245
VEH10063,CUST10052,JK04UE6096,JK04,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2025,1,479021
VEH10064,CUST10053,JK02KS2245,JK02,Toyota,Glanza,Hatchback,Petrol,1197,2020,6,294041
VEH10065,CUST10054,JK02UO1672,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2023,3,522778
VEH10066,CUST10055,JK08AK9031,JK08,Hyundai,i20,Hatchback,Petrol,1197,2025,1,708244
VEH10067,CUST10056,JK04LT5425,JK04,Hyundai,Venue,SUV,Diesel,1197,2020,6,534354
VEH10068,CUST10056,JK04IG2419,JK04,Hyundai,i20,Hatchback,Petrol,1197,2023,3,439497
VEH10069,CUST10057,JK02IM6325,JK02,Tata,Tiago,Hatchback,Petrol,1199,2024,2,508824
VEH10070,CUST10058,JK02ON4130,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2025,1,515231
VEH10071,CUST10058,JK02RQ9041,JK02,Tata,Punch,SUV,Petrol,1199,2022,4,389271
VEH10072,CUST10059,JK02HP8753,JK02,Hyundai,Venue,SUV,Diesel,1197,2021,5,573086
VEH10073,CUST10060,JK02SH5118,JK02,Tata,Altroz,Hatchback,CNG,1199,2024,2,560775
VEH10074,CUST10060,JK02ET5530,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2018,8,193446
VEH10075,CUST10060,JK02FE1231,JK02,Kia,Sonet,SUV,Petrol,1197,2019,7,395054
VEH10076,CUST10060,JK02OS3068,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2020,6,204203
VEH10077,CUST10061,JK20MI1841,JK20,Tata,Tiago,Hatchback,CNG,1199,2023,3,356869
VEH10078,CUST10061,JK20MP1878,JK20,Kia,Sonet,SUV,Diesel,1197,2024,2,631454
VEH10079,CUST10062,JK02PU4697,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2018,8,327669
VEH10080,CUST10062,JK02WZ6003,JK02,Toyota,Fortuner,SUV,Diesel,2755,2020,6,1537296
VEH10081,CUST10062,JK02QG2330,JK02,Honda,City,Sedan,Petrol,1498,2024,2,1183044
VEH10082,CUST10062,JK02KR8699,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2023,3,385734
VEH10083,CUST10063,JK12BG5334,JK12,Mahindra,XUV700,SUV,Petrol,1999,2017,9,807474
VEH10084,CUST10064,JK02XV2169,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2025,1,690177
VEH10085,CUST10065,JK02LM5982,JK02,Tata,Altroz,Hatchback,Diesel,1199,2019,7,344956
VEH10086,CUST10066,JK08XT5102,JK08,Hyundai,Creta,SUV,Petrol,1497,2025,1,1365995
VEH10087,CUST10067,JK02ZR5415,JK02,Tata,Nexon,SUV,Petrol,1199,2020,6,537009
VEH10088,CUST10067,JK02XE8141,JK02,Hyundai,Verna,Sedan,Petrol,1497,2020,6,403053
VEH10089,CUST10068,JK02RW6403,JK02,Hyundai,i20,Hatchback,Petrol,1197,2022,4,390665
VEH10090,CUST10069,JK02LI6296,JK02,Hyundai,Creta,SUV,Diesel,1497,2024,2,1151674
VEH10091,CUST10070,JK02KE6927,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2020,6,462552
VEH10092,CUST10070,JK02FO5719,JK02,Hyundai,Creta,SUV,Diesel,1497,2022,4,616394
VEH10093,CUST10071,JK02SI1224,JK02,Tata,Punch,SUV,Petrol,1199,2021,5,358903
VEH10094,CUST10072,JK11YQ3522,JK11,Honda,Amaze,Sedan,Petrol,1199,2021,5,433397
VEH10095,CUST10072,JK11VZ4993,JK11,Mahindra,XUV700,SUV,Petrol,1999,2022,4,1562662
VEH10096,CUST10072,JK11WH7798,JK11,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023,3,350940
VEH10097,CUST10072,JK11VP9022,JK11,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2016,10,158092
VEH10098,CUST10073,JK17LI4090,JK17,Maruti Suzuki,Brezza,SUV,Petrol,1462,2012,14,249946
VEH10099,CUST10074,JK02BT7246,JK02,Toyota,Glanza,Hatchback,Petrol,1197,2022,4,515816
VEH10100,CUST10075,JK02WW8213,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2025,1,304339
VEH10101,CUST10075,JK02WZ2225,JK02,Mahindra,XUV700,SUV,Diesel,1999,2022,4,1506008
VEH10102,CUST10075,JK02QW9742,JK02,Tata,Tiago,Hatchback,CNG,1199,2022,4,467173
VEH10103,CUST10076,JK08AB5708,JK08,Mahindra,Bolero,SUV,Diesel,1493,2010,16,231881
VEH10104,CUST10077,JK02LS1474,JK02,Mahindra,Scorpio-N,SUV,Petrol,2198,2025,1,1797950
VEH10105,CUST10077,JK02DN3950,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2024,2,815639
VEH10106,CUST10077,JK02MP4804,JK02,Toyota,Innova Hycross,MPV,Hybrid,1987,2022,4,1898273
VEH10107,CUST10078,JK02XR3588,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2025,1,856847
VEH10108,CUST10079,JK02GV4263,JK02,Renault,Triber,MPV,Petrol,999,2010,16,151479
VEH10109,CUST10080,JK02HS1359,JK02,Tata,Harrier,SUV,Diesel,1956,2012,14,493906
VEH10110,CUST10081,JK02XT5689,JK02,Toyota,Innova Crysta,MPV,Diesel,2393,2018,8,818604
VEH10111,CUST10082,JK06RS3240,JK06,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2020,6,230386
VEH10112,CUST10083,JK14TC5835,JK14,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2023,3,309459
VEH10113,CUST10083,JK14NX3695,JK14,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2023,3,353317
VEH10114,CUST10084,JK08MB4696,JK08,Maruti Suzuki,Swift,Hatchback,CNG,1197,2016,10,173048
VEH10115,CUST10085,JK06GD7038,JK06,Kia,Seltos,SUV,Diesel,1497,2019,7,719627
VEH10116,CUST10086,JK19RM6374,JK19,Honda,City,Sedan,Petrol,1498,2015,11,394778
VEH10117,CUST10086,JK19XH7689,JK19,Maruti Suzuki,Brezza,SUV,Petrol,1462,2024,2,956890
VEH10118,CUST10087,JK02CX3222,JK02,Renault,Kwid,Hatchback,Petrol,999,2022,4,349929
VEH10119,CUST10088,JK02XR9017,JK02,Mahindra,Scorpio Classic,SUV,Diesel,2184,2020,6,510437
VEH10120,CUST10089,JK02YW2627,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2012,14,246364
VEH10121,CUST10090,JK02KE3001,JK02,Tata,Nexon,SUV,Diesel,1199,2013,13,199031
VEH10122,CUST10090,JK02ZB6464,JK02,Tata,Harrier,SUV,Diesel,1956,2023,3,1808803
VEH10123,CUST10091,JK08FF4817,JK08,Kia,Carens,MPV,Petrol,1497,2023,3,774162
VEH10124,CUST10092,JK02OU2801,JK02,Renault,Kwid,Hatchback,Petrol,999,2019,7,147640
VEH10125,CUST10093,JK02PA5347,JK02,Kia,Seltos,SUV,Diesel,1497,2025,1,1787788
VEH10126,CUST10094,JK02UN2786,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2022,4,717402
VEH10127,CUST10095,JK02HQ1510,JK02,Mahindra,Bolero,SUV,Diesel,1493,2025,1,972593
VEH10128,CUST10096,JK02SL2323,JK02,Mahindra,XUV700,SUV,Petrol,1999,2023,3,1356421
VEH10129,CUST10097,JK02OI9692,JK02,Tata,Harrier,SUV,Diesel,1956,2023,3,1125594
VEH10130,CUST10098,JK08LX7779,JK08,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023,3,496334
VEH10131,CUST10098,JK08II5176,JK08,Hyundai,Creta,SUV,Petrol,1497,2022,4,972110
VEH10132,CUST10099,JK02CC7105,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2017,9,212242
VEH10133,CUST10099,JK02ID6793,JK02,Honda,Elevate,SUV,Petrol,1498,2016,10,464021
VEH10134,CUST10100,JK02JP4485,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2024,2,374054
VEH10135,CUST10101,JK02CH4705,JK02,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2017,9,200786
VEH10136,CUST10101,JK02GE6062,JK02,Honda,Elevate,SUV,Petrol,1498,2014,12,276600
VEH10137,CUST10102,JK14BT1502,JK14,Maruti Suzuki,Brezza,SUV,Petrol,1462,2025,1,762648
VEH10138,CUST10103,JK02II2391,JK02,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2015,11,108132
VEH10139,CUST10104,JK02HR8957,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2020,6,244448
VEH10140,CUST10105,JK02LH8972,JK02,Hyundai,i20,Hatchback,Petrol,1197,2021,5,261905
VEH10141,CUST10106,JK02AH4460,JK02,Renault,Kwid,Hatchback,Petrol,999,2018,8,158113
VEH10142,CUST10107,JK02EJ4770,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2021,5,368894
VEH10143,CUST10108,JK02AX6129,JK02,Mahindra,XUV700,SUV,Diesel,1999,2020,6,1479567
VEH10144,CUST10109,JK02AI8538,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2017,9,223861
VEH10145,CUST10110,JK02PN7484,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2016,10,204041
VEH10146,CUST10111,JK04NF6724,JK04,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2023,3,366710
VEH10147,CUST10112,JK02PT2234,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2024,2,594596
VEH10148,CUST10113,JK02RW6295,JK02,Mahindra,XUV700,SUV,Diesel,1999,2016,10,529145
VEH10149,CUST10114,JK11UP6766,JK11,Hyundai,i20,Hatchback,Petrol,1197,2021,5,371043
VEH10150,CUST10115,JK08BW2479,JK08,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2020,6,266667
VEH10151,CUST10116,JK02XL4084,JK02,Honda,Elevate,SUV,Petrol,1498,2023,3,1138004
VEH10152,CUST10117,JK20VV2381,JK20,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2021,5,210260
VEH10153,CUST10118,JK02NP6962,JK02,Hyundai,Verna,Sedan,Petrol,1497,2022,4,723741
VEH10154,CUST10119,JK02UQ2079,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2023,3,384281
VEH10155,CUST10120,JK20IP3317,JK20,Toyota,Innova Hycross,MPV,Hybrid,1987,2015,11,893961
VEH10156,CUST10121,JK02IJ6381,JK02,Hyundai,Creta,SUV,Petrol,1497,2017,9,473221
VEH10157,CUST10122,JK14JE4509,JK14,Hyundai,Creta,SUV,Diesel,1497,2023,3,770932
VEH10158,CUST10123,JK14HU9317,JK14,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2018,8,261464
VEH10159,CUST10124,JK04PE3962,JK04,Mahindra,Scorpio Classic,SUV,Diesel,2184,2017,9,556864
VEH10160,CUST10125,JK02ZP8355,JK02,Hyundai,Venue,SUV,Petrol,1197,2024,2,819600
VEH10161,CUST10126,JK14JY8218,JK14,Kia,Seltos,SUV,Diesel,1497,2022,4,1080506
VEH10162,CUST10126,JK14ZV3267,JK14,Hyundai,Verna,Sedan,Petrol,1497,2016,10,368081
VEH10163,CUST10126,JK14OC9452,JK14,Hyundai,i20,Hatchback,Petrol,1197,2016,10,135993
VEH10164,CUST10127,JK02VC4637,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2017,9,154194
VEH10165,CUST10128,JK02GZ7142,JK02,Hyundai,i20,Hatchback,Petrol,1197,2024,2,790416
VEH10166,CUST10129,JK02UD5700,JK02,Mahindra,Thar,SUV,Diesel,2184,2015,11,482471
VEH10167,CUST10130,JK04LA2298,JK04,Mahindra,XUV700,SUV,Petrol,1999,2025,1,1796530
VEH10168,CUST10130,JK04NC5720,JK04,Tata,Harrier,SUV,Diesel,1956,2024,2,1200109
VEH10169,CUST10131,JK04LC9189,JK04,Tata,Harrier,SUV,Diesel,1956,2020,6,1116369
VEH10170,CUST10132,JK02LP4941,JK02,Mahindra,Thar,SUV,Petrol,2184,2020,6,853489
VEH10171,CUST10133,JK02BN9312,JK02,Hyundai,i20,Hatchback,Petrol,1197,2017,9,211413
VEH10172,CUST10134,JK02ZG1266,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2023,3,616542
VEH10173,CUST10134,JK02UT6447,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2024,2,549014
VEH10174,CUST10135,JK02ZM3986,JK02,Tata,Tiago,Hatchback,Petrol,1199,2017,9,247623
VEH10175,CUST10136,JK02FU1686,JK02,Hyundai,i20,Hatchback,Petrol,1197,2023,3,539146
VEH10176,CUST10137,JK04GT4131,JK04,Kia,Sonet,SUV,Petrol,1197,2023,3,971308
VEH10177,CUST10138,JK02LK8204,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2015,11,131938
VEH10178,CUST10139,JK17JU5369,JK17,Hyundai,Verna,Sedan,Petrol,1497,2017,9,264828
VEH10179,CUST10139,JK17OI2311,JK17,Hyundai,Venue,SUV,Diesel,1197,2023,3,714968
VEH10180,CUST10139,JK17EL8325,JK17,Hyundai,Verna,Sedan,Petrol,1497,2025,1,1228010
VEH10181,CUST10140,JK20BQ6952,JK20,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2021,5,208163
VEH10182,CUST10140,JK20AB7001,JK20,Maruti Suzuki,Brezza,SUV,Petrol,1462,2023,3,712070
VEH10183,CUST10140,JK20YJ2259,JK20,Maruti Suzuki,Brezza,SUV,CNG,1462,2020,6,408907
VEH10184,CUST10140,JK20GC4048,JK20,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2021,5,322239
VEH10185,CUST10141,JK02FP9047,JK02,Mahindra,XUV700,SUV,Petrol,1999,2024,2,1564238
VEH10186,CUST10142,JK02ZV6236,JK02,Toyota,Glanza,Hatchback,Petrol,1197,2019,7,355342
VEH10187,CUST10143,JK08SY3852,JK08,Toyota,Innova Hycross,MPV,Petrol,1987,2017,9,736354
VEH10188,CUST10144,JK02UA7044,JK02,Kia,Seltos,SUV,Petrol,1497,2022,4,708483
VEH10189,CUST10144,JK02ZS9612,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2022,4,678999
VEH10190,CUST10144,JK02ZQ8372,JK02,Tata,Punch,SUV,CNG,1199,2022,4,400370
VEH10191,CUST10145,JK02PT3114,JK02,Kia,Carens,MPV,Petrol,1497,2022,4,816230
VEH10192,CUST10145,JK02EI4694,JK02,Hyundai,i20,Hatchback,Petrol,1197,2023,3,660458
VEH10193,CUST10146,JK02DH9740,JK02,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2025,1,561236
VEH10194,CUST10147,JK08VO1464,JK08,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2025,1,587672
VEH10195,CUST10147,JK08QA9938,JK08,Maruti Suzuki,Brezza,SUV,CNG,1462,2023,3,667241
VEH10196,CUST10148,JK02HB1981,JK02,Kia,Sonet,SUV,Diesel,1197,2024,2,966219
VEH10197,CUST10149,JK02IS6658,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2012,14,224701
VEH10198,CUST10150,JK02GD8366,JK02,Tata,Altroz,Hatchback,Petrol,1199,2023,3,438571
VEH10199,CUST10151,JK02GW3616,JK02,Hyundai,Verna,Sedan,Petrol,1497,2017,9,299716
VEH10200,CUST10152,JK04MI1379,JK04,Hyundai,Verna,Sedan,Petrol,1497,2025,1,1130496
VEH10201,CUST10153,JK06BH8710,JK06,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2023,3,284451
VEH10202,CUST10154,JK02TJ7563,JK02,Toyota,Fortuner,SUV,Diesel,2755,2025,1,3842453
VEH10203,CUST10155,JK17TH2946,JK17,Maruti Suzuki,Brezza,SUV,Petrol,1462,2024,2,725214
VEH10204,CUST10156,JK06YT4261,JK06,Renault,Triber,MPV,Petrol,999,2020,6,365482
VEH10205,CUST10157,JK08UN3440,JK08,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2020,6,234876
VEH10206,CUST10158,JK02ZT5902,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2020,6,482212
VEH10207,CUST10158,JK02VJ2795,JK02,Tata,Tiago,Hatchback,CNG,1199,2012,14,207569
VEH10208,CUST10159,JK02MZ4728,JK02,Tata,Harrier,SUV,Diesel,1956,2018,8,615156
VEH10209,CUST10159,JK02DR1517,JK02,Hyundai,Verna,Sedan,Petrol,1497,2020,6,450022
VEH10210,CUST10160,JK08KF9221,JK08,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2018,8,310026
VEH10211,CUST10161,JK08FI8837,JK08,Mahindra,Bolero,SUV,Diesel,1493,2021,5,395398
VEH10212,CUST10162,JK19RW5331,JK19,Hyundai,i20,Hatchback,Petrol,1197,2020,6,283161
VEH10213,CUST10163,JK12US9011,JK12,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2023,3,450699
VEH10214,CUST10164,JK08HO9899,JK08,Kia,Sonet,SUV,Diesel,1197,2022,4,637139
VEH10215,CUST10164,JK08HH2294,JK08,Honda,City,Sedan,Petrol,1498,2023,3,1111485
VEH10216,CUST10165,JK19VH5450,JK19,Hyundai,Venue,SUV,Petrol,1197,2024,2,763388
VEH10217,CUST10166,JK11QB7771,JK11,Toyota,Innova Hycross,MPV,Hybrid,1987,2023,3,1687599
VEH10218,CUST10167,JK02KY8793,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2022,4,537789
VEH10219,CUST10168,JK02XC4804,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2021,5,245892
VEH10220,CUST10168,JK02YA7504,JK02,Hyundai,Venue,SUV,Petrol,1197,2017,9,301058
VEH10221,CUST10168,JK02HP6489,JK02,Toyota,Innova Crysta,MPV,Diesel,2393,2023,3,1317005
VEH10222,CUST10169,JK11VI8518,JK11,Hyundai,Venue,SUV,Petrol,1197,2020,6,321645
VEH10223,CUST10169,JK11OT3875,JK11,Mahindra,Thar,SUV,Diesel,2184,2020,6,930222
VEH10224,CUST10170,JK04RE3303,JK04,Maruti Suzuki,Brezza,SUV,Petrol,1462,2022,4,422148
VEH10225,CUST10171,JK02YH1187,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2023,3,499246
VEH10226,CUST10172,JK04HK9233,JK04,Tata,Tiago,Hatchback,CNG,1199,2014,12,202977
VEH10227,CUST10173,JK02JF3188,JK02,Honda,Amaze,Sedan,Petrol,1199,2021,5,496014
VEH10228,CUST10174,JK02TU4578,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2018,8,341430
VEH10229,CUST10174,JK02CO2011,JK02,Hyundai,i20,Hatchback,Petrol,1197,2017,9,240078
VEH10230,CUST10174,JK02IN2904,JK02,Hyundai,Venue,SUV,Diesel,1197,2019,7,318143
VEH10231,CUST10175,JK02LN8484,JK02,Hyundai,Creta,SUV,Diesel,1497,2021,5,802724
VEH10232,CUST10175,JK02AG1049,JK02,Kia,Carens,MPV,Petrol,1497,2018,8,418242
VEH10233,CUST10176,JK12ZY2130,JK12,Mahindra,Bolero,SUV,Diesel,1493,2011,15,179159
VEH10234,CUST10177,JK02TZ7887,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,4,441097
VEH10235,CUST10178,JK02CZ9835,JK02,Toyota,Glanza,Hatchback,CNG,1197,2024,2,529757
VEH10236,CUST10178,JK02NS4648,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2017,9,256928
VEH10237,CUST10179,JK02NV5055,JK02,Mahindra,XUV700,SUV,Petrol,1999,2022,4,1426847
VEH10238,CUST10180,JK02AR1256,JK02,Toyota,Innova Crysta,MPV,Diesel,2393,2024,2,1449276
VEH10239,CUST10181,JK02GB8191,JK02,Hyundai,Creta,SUV,Petrol,1497,2024,2,1352824
VEH10240,CUST10182,JK02GX6224,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2020,6,213392
VEH10241,CUST10182,JK02ZN7775,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2023,3,554316
VEH10242,CUST10183,JK08QL9120,JK08,Toyota,Innova Hycross,MPV,Hybrid,1987,2025,1,3016761
VEH10243,CUST10183,JK08IK3444,JK08,Tata,Harrier,SUV,Diesel,1956,2023,3,1769681
