Policy_Number,RID,RED,IDV,Policy_Tenure,Policy_Term,Total_Claim_Amount,Claim_Count,NCB,Premium,Customer_Area,District,RTO,Make,Model,Vehicle_Type,Fuel_Type,Engine_CC,Manufacturing_Year,Vehicle_First_Registration_Date,Vehicle_Age,Channel_Type,Portfolio_Size,Year_Onboarded,Renewed
POL10012,2025-11-30,2026-11-29,538591,4,365,128054.09,0,20,12926.18,Katra,Reasi,JK20,Hyundai,i20,Hatchback,Petrol,1197,2022,2022-10-06,4,Dealer,60,2020-08-15,0
POL10013,2025-07-16,2026-07-15,465476,1,365,57085.13,0,0,13964.28,Rajouri,Rajouri,JK11,Honda,Amaze,Sedan,Petrol,1199,2023,2024-03-18,3,Prime Broker,541,2025-05-13,0
POL10014,2025-08-18,2026-08-17,453687,1,365,0.0,0,0,13610.61,Bishnah,Jammu,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2021,2022-10-10,5,Bancassurance,586,2017-05-18,0
POL10015,2025-06-10,2026-06-09,305200,1,365,60467.25,0,0,9156.0,Rajouri,Rajouri,JK11,Tata,Nexon,SUV,Petrol,1199,2015,2016-01-24,11,Bancassurance,619,2022-11-01,1
POL10015,2026-06-10,2027-06-09,305200,2,365,0.0,0,20,7324.8,Rajouri,Rajouri,JK11,Tata,Nexon,SUV,Petrol,1199,2015,2016-01-24,11,Bancassurance,619,2022-11-01,0
POL10016,2025-12-10,2026-12-09,608891,1,365,0.0,0,0,18266.73,Katra,Reasi,JK20,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025,2025-12-02,1,Prime Broker,564,2023-10-25,0
POL10017,2025-12-09,2026-12-08,374056,1,365,0.0,0,0,11221.68,Channi Himmat,Jammu,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2019,2019-11-11,7,Prime Broker,599,2024-01-17,0
POL10018,2025-12-31,2026-12-30,1057590,1,365,0.0,0,0,31727.7,Trikuta Nagar,Jammu,JK02,Mahindra,Thar,SUV,Petrol,2184,2025,2026-08-10,1,Prime Broker,293,2024-07-12,0
POL10019,2025-06-11,2026-06-10,537261,1,365,0.0,0,0,16117.83,Trikuta Nagar,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2023,2024-06-11,3,Prime Broker,289,2022-01-13,1
POL10019,2026-06-11,2027-06-10,537261,2,365,0.0,0,20,12894.26,Trikuta Nagar,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2023,2024-06-11,3,Prime Broker,289,2022-01-13,0
POL10020,2025-07-19,2026-07-18,707634,1,365,78393.78,0,0,21229.02,Janipur,Jammu,JK02,Hyundai,Verna,Sedan,Petrol,1497,2024,2024-10-19,2,Prime Broker,514,2020-06-13,0
POL10021,2025-07-01,2026-06-30,197910,1,365,0.0,0,0,5937.3,Padder,Kishtwar,JK17,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2015,2016-05-12,11,POSP,73,2025-02-04,1
POL10021,2026-07-01,2027-06-30,197910,2,365,0.0,0,20,4749.84,Padder,Kishtwar,JK17,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2015,2016-05-12,11,POSP,73,2025-02-04,0
POL10022,2024-07-06,2025-07-05,821512,1,365,0.0,0,0,24645.36,Bhaderwah,Doda,JK06,Hyundai,Venue,SUV,Diesel,1197,2023,2023-07-13,3,POSP,45,2019-09-12,1
POL10022,2025-07-06,2026-07-05,821512,2,365,0.0,0,20,19716.29,Bhaderwah,Doda,JK06,Hyundai,Venue,SUV,Diesel,1197,2023,2023-07-13,3,POSP,45,2019-09-12,0
POL10023,2025-06-20,2026-06-19,2206438,1,365,0.0,0,0,66193.14,Banihal,Ramban,JK19,Tata,Harrier,SUV,Diesel,1956,2025,2025-06-09,1,Agency,93,2024-10-19,1
POL10023,2026-06-20,2027-06-19,2206438,2,365,0.0,0,20,52954.51,Banihal,Ramban,JK19,Tata,Harrier,SUV,Diesel,1956,2025,2025-06-09,1,Agency,93,2024-10-19,0
POL10024,2023-04-05,2024-04-03,368200,1,365,0.0,0,0,11046.0,Bakshi Nagar,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,2023-03-18,4,Agency,258,2020-11-27,1
POL10024,2024-04-04,2025-04-03,368200,2,365,40844.45,0,20,8836.8,Bakshi Nagar,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,2023-03-18,4,Agency,258,2020-11-27,1
POL10024,2025-04-04,2026-04-03,368200,3,365,0.0,0,25,8284.5,Bakshi Nagar,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,2023-03-18,4,Agency,258,2020-11-27,1
POL10024,2026-04-04,2027-04-03,368200,4,365,0.0,0,35,7179.9,Bakshi Nagar,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,2023-03-18,4,Agency,258,2020-11-27,0
POL10025,2025-06-26,2026-06-25,352433,1,365,0.0,0,0,10572.99,Akhnoor,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2021,2022-05-29,5,POSP,96,2021-07-19,1
POL10025,2026-06-26,2027-06-25,352433,2,365,0.0,0,20,8458.39,Akhnoor,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2021,2022-05-29,5,POSP,96,2021-07-19,0
POL10026,2025-10-27,2026-10-26,976990,1,365,0.0,1,0,32240.67,Narwal,Jammu,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2025,2025-02-16,1,Prime Broker,488,2021-03-24,0
POL10027,2025-12-31,2026-12-30,528581,1,365,61569.29,0,0,15857.43,Reasi,Reasi,JK20,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2025,2026-05-03,1,Agency,92,2023-07-15,0
POL10028,2024-11-18,2025-11-17,114325,1,365,0.0,1,0,3772.73,Channi Himmat,Jammu,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2015,2015-09-16,11,Prime Broker,541,2023-05-19,1
POL10028,2025-11-18,2026-11-17,114325,2,365,0.0,0,0,3429.75,Channi Himmat,Jammu,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2015,2015-09-16,11,Prime Broker,541,2023-05-19,0
POL10029,2025-12-31,2026-12-30,1111749,1,365,0.0,0,0,33352.47,Katra,Reasi,JK20,Tata,Nexon,SUV,Diesel,1199,2025,2025-06-24,1,Agency,149,2019-06-14,0
POL10030,2025-08-26,2026-08-25,335586,1,365,0.0,0,0,10067.58,Gandhi Nagar,Jammu,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2024,2025-01-31,2,Agency,258,2020-11-27,0
POL10031,2025-02-13,2026-02-12,365017,1,365,0.0,0,0,10950.51,Billawar,Kathua,JK04,Kia,Sonet,SUV,Diesel,1197,2019,2019-10-14,7,Bancassurance,714,2023-10-19,1
POL10031,2026-02-13,2027-02-12,365017,2,365,0.0,0,20,8760.41,Billawar,Kathua,JK04,Kia,Sonet,SUV,Diesel,1197,2019,2019-10-14,7,Bancassurance,714,2023-10-19,0
POL10032,2022-10-24,2023-10-23,192914,1,365,0.0,0,0,5787.42,Mendhar,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2017,2018-08-17,9,POSP,72,2018-03-05,1
POL10032,2023-10-24,2024-10-22,192914,2,365,0.0,0,20,4629.94,Mendhar,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2017,2018-08-17,9,POSP,72,2018-03-05,1
POL10032,2024-10-23,2025-10-22,192914,3,365,0.0,0,25,4340.57,Mendhar,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2017,2018-08-17,9,POSP,72,2018-03-05,1
POL10032,2025-10-23,2026-10-22,192914,4,365,0.0,2,35,4514.19,Mendhar,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2017,2018-08-17,9,POSP,72,2018-03-05,0
POL10033,2024-03-15,2025-03-14,593399,1,365,535624.23,0,0,17801.97,Mendhar,Poonch,JK12,Honda,Amaze,Sedan,Petrol,1199,2023,2023-08-27,3,Bancassurance,582,2022-09-15,1
POL10033,2025-03-15,2026-03-14,593399,2,365,0.0,0,20,14241.58,Mendhar,Poonch,JK12,Honda,Amaze,Sedan,Petrol,1199,2023,2023-08-27,3,Bancassurance,582,2022-09-15,1
POL10033,2026-03-15,2027-03-14,593399,3,365,0.0,0,25,13351.48,Mendhar,Poonch,JK12,Honda,Amaze,Sedan,Petrol,1199,2023,2023-08-27,3,Bancassurance,582,2022-09-15,0
POL10034,2025-04-30,2026-04-29,190782,1,365,0.0,0,0,5723.46,Udhampur,Udhampur,JK14,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018,2018-09-11,8,Prime Broker,403,2025-03-17,1
POL10034,2026-04-30,2027-04-29,190782,2,365,23733.46,1,20,5036.64,Udhampur,Udhampur,JK14,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018,2018-09-11,8,Prime Broker,403,2025-03-17,0
POL10035,2025-05-18,2026-05-17,266280,1,365,35874.43,0,0,7988.4,Talab Tillo,Jammu,JK02,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2019,2020-02-18,7,POSP,31,2024-04-13,1
POL10035,2026-05-18,2027-05-17,266280,2,365,0.0,0,20,6390.72,Talab Tillo,Jammu,JK02,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2019,2020-02-18,7,POSP,31,2024-04-13,0
POL10036,2019-09-26,2020-09-24,165984,1,365,0.0,0,0,4979.52,Surankote,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016,2016-08-24,10,Bancassurance,644,2019-02-11,1
POL10036,2020-09-25,2021-09-24,165984,2,365,0.0,1,20,4381.98,Surankote,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016,2016-08-24,10,Bancassurance,644,2019-02-11,1
POL10036,2021-09-25,2022-09-24,165984,3,365,8843.97,0,0,4979.52,Surankote,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016,2016-08-24,10,Bancassurance,644,2019-02-11,1
POL10036,2022-09-25,2023-09-24,165984,4,365,0.0,0,20,3983.62,Surankote,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016,2016-08-24,10,Bancassurance,644,2019-02-11,1
POL10036,2023-09-25,2024-09-23,165984,5,365,41847.43,0,25,3734.64,Surankote,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016,2016-08-24,10,Bancassurance,644,2019-02-11,1
POL10036,2024-09-24,2025-09-23,165984,6,365,0.0,0,35,3236.69,Surankote,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016,2016-08-24,10,Bancassurance,644,2019-02-11,1
POL10036,2025-09-24,2026-09-23,165984,7,365,0.0,0,45,2738.74,Surankote,Poonch,JK12,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016,2016-08-24,10,Bancassurance,644,2019-02-11,0
POL10037,2025-02-09,2026-02-08,258860,1,365,0.0,0,0,7765.8,Akhnoor,Jammu,JK02,Tata,Punch,SUV,Petrol,1199,2017,2018-02-02,9,Prime Broker,333,2024-03-26,1
POL10037,2026-02-09,2027-02-08,258860,2,365,27867.74,0,20,6212.64,Akhnoor,Jammu,JK02,Tata,Punch,SUV,Petrol,1199,2017,2018-02-02,9,Prime Broker,333,2024-03-26,0
POL10038,2024-12-18,2025-12-17,357910,1,365,0.0,0,0,10737.3,Canal Road,Jammu,JK02,Hyundai,Creta,SUV,Diesel,1497,2018,2019-05-13,8,Prime Broker,437,2023-10-10,1
POL10038,2025-12-18,2026-12-17,357910,2,365,101244.14,0,20,8589.84,Canal Road,Jammu,JK02,Hyundai,Creta,SUV,Diesel,1497,2018,2019-05-13,8,Prime Broker,437,2023-10-10,0
POL10039,2025-08-20,2026-08-19,749426,1,365,0.0,0,0,22482.78,Rehari,Jammu,JK02,Kia,Sonet,SUV,Petrol,1197,2024,2025-01-18,2,POSP,31,2019-11-10,0
POL10040,2023-12-13,2024-12-11,286074,1,365,38742.27,0,0,8582.22,Satwari,Jammu,JK02,Hyundai,Venue,SUV,Diesel,1197,2017,2017-09-10,9,Prime Broker,233,2022-05-21,1
POL10040,2024-12-12,2025-12-11,286074,2,365,0.0,1,20,7552.35,Satwari,Jammu,JK02,Hyundai,Venue,SUV,Diesel,1197,2017,2017-09-10,9,Prime Broker,233,2022-05-21,1
POL10040,2025-12-12,2026-12-11,286074,3,365,0.0,0,0,8582.22,Satwari,Jammu,JK02,Hyundai,Venue,SUV,Diesel,1197,2017,2017-09-10,9,Prime Broker,233,2022-05-21,0
POL10041,2025-12-26,2026-12-25,507761,1,365,75714.22,0,0,15232.83,Akhnoor,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025,2025-03-12,1,Bancassurance,655,2025-06-04,0
POL10042,2025-02-23,2026-02-22,554919,1,365,0.0,0,0,16647.57,Katra,Reasi,JK20,Mahindra,Scorpio-N,SUV,Diesel,2198,2014,2014-11-18,12,Prime Broker,479,2022-05-05,1
POL10042,2026-02-23,2027-02-22,554919,2,365,0.0,0,20,13318.06,Katra,Reasi,JK20,Mahindra,Scorpio-N,SUV,Diesel,2198,2014,2014-11-18,12,Prime Broker,479,2022-05-05,0
POL10043,2024-09-02,2025-09-01,329872,1,365,0.0,0,0,9896.16,Katra,Reasi,JK20,Hyundai,Venue,SUV,Diesel,1197,2020,2021-09-14,6,Bancassurance,644,2019-02-11,1
POL10043,2025-09-02,2026-09-01,329872,2,365,0.0,0,20,7916.93,Katra,Reasi,JK20,Hyundai,Venue,SUV,Diesel,1197,2020,2021-09-14,6,Bancassurance,644,2019-02-11,0
POL10044,2024-09-28,2025-09-27,248169,1,365,0.0,0,0,7445.07,Hiranagar,Kathua,JK04,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018,2019-02-01,8,Agency,203,2023-08-07,1
POL10044,2025-09-28,2026-09-27,248169,2,365,0.0,1,20,6551.66,Hiranagar,Kathua,JK04,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018,2019-02-01,8,Agency,203,2023-08-07,0
POL10045,2023-07-25,2024-07-23,467838,1,365,267045.74,0,0,14035.14,Vijaypur,Samba,JK08,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2022,2022-10-15,4,Bancassurance,764,2016-07-03,1
POL10045,2024-07-24,2025-07-23,467838,2,365,0.0,0,20,11228.11,Vijaypur,Samba,JK08,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2022,2022-10-15,4,Bancassurance,764,2016-07-03,1
POL10045,2025-07-24,2026-07-23,467838,3,365,0.0,1,25,11578.99,Vijaypur,Samba,JK08,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2022,2022-10-15,4,Bancassurance,764,2016-07-03,0
POL10046,2025-06-25,2026-06-24,575761,1,365,0.0,0,0,17272.83,Kathua,Kathua,JK04,Tata,Nexon,SUV,Diesel,1199,2020,2021-01-14,6,Prime Broker,583,2019-03-09,1
POL10046,2026-06-25,2027-06-24,575761,2,365,0.0,2,20,16581.92,Kathua,Kathua,JK04,Tata,Nexon,SUV,Diesel,1199,2020,2021-01-14,6,Prime Broker,583,2019-03-09,0
POL10047,2025-01-26,2026-01-25,1144710,1,365,0.0,0,0,34341.3,Kathua,Kathua,JK04,Mahindra,XUV700,SUV,Petrol,1999,2019,2020-10-07,7,Prime Broker,325,2020-06-21,1
POL10047,2026-01-26,2027-01-25,1144710,2,365,311672.86,0,20,27473.04,Kathua,Kathua,JK04,Mahindra,XUV700,SUV,Petrol,1999,2019,2020-10-07,7,Prime Broker,325,2020-06-21,0
POL10048,2024-09-03,2025-09-02,536734,1,365,0.0,0,0,16102.02,Janipur,Jammu,JK02,Hyundai,Verna,Sedan,Petrol,1497,2019,2019-11-04,7,Prime Broker,437,2023-10-10,1
POL10048,2025-09-03,2026-09-02,536734,2,365,0.0,0,20,12881.62,Janipur,Jammu,JK02,Hyundai,Verna,Sedan,Petrol,1497,2019,2019-11-04,7,Prime Broker,437,2023-10-10,0
POL10049,2024-03-14,2025-03-13,3013360,1,365,439515.73,0,0,90400.8,Talab Tillo,Jammu,JK02,Toyota,Fortuner,SUV,Diesel,2755,2022,2022-12-14,4,POSP,94,2017-02-12,1
POL10049,2025-03-14,2026-03-13,3013360,2,365,0.0,0,20,72320.64,Talab Tillo,Jammu,JK02,Toyota,Fortuner,SUV,Diesel,2755,2022,2022-12-14,4,POSP,94,2017-02-12,1
POL10049,2026-03-14,2027-03-13,3013360,3,365,0.0,0,25,67800.6,Talab Tillo,Jammu,JK02,Toyota,Fortuner,SUV,Diesel,2755,2022,2022-12-14,4,POSP,94,2017-02-12,0
POL10050,2025-08-10,2026-08-09,699400,1,365,0.0,0,0,20982.0,Katra,Reasi,JK20,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2024,2025-07-29,2,Agency,212,2025-02-08,0
POL10051,2023-09-28,2024-09-26,925842,1,365,0.0,0,0,27775.26,Bari Brahmana,Samba,JK08,Mahindra,Scorpio-N,SUV,Diesel,2198,2022,2023-06-18,4,Prime Broker,479,2022-05-05,1
POL10051,2024-09-27,2025-09-26,925842,2,365,0.0,0,20,22220.21,Bari Brahmana,Samba,JK08,Mahindra,Scorpio-N,SUV,Diesel,2198,2022,2023-06-18,4,Prime Broker,479,2022-05-05,1
POL10051,2025-09-27,2026-09-26,925842,3,365,54951.59,1,25,22914.59,Bari Brahmana,Samba,JK08,Mahindra,Scorpio-N,SUV,Diesel,2198,2022,2023-06-18,4,Prime Broker,479,2022-05-05,0
POL10052,2025-12-31,2026-12-30,2788646,1,365,1838147.48,0,0,83659.38,Shastri Nagar,Jammu,JK02,Toyota,Fortuner,SUV,Petrol,2755,2025,2026-07-12,1,POSP,49,2024-07-02,0
POL10053,2025-12-23,2026-12-22,98821,1,365,0.0,0,0,2964.63,Trikuta Nagar,Jammu,JK02,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2015,2015-03-16,11,Prime Broker,585,2025-10-02,0
POL10054,2024-12-04,2025-12-03,255369,1,365,84849.14,0,0,7661.07,Gandhi Nagar,Jammu,JK02,Tata,Tiago,Hatchback,CNG,1199,2021,2022-08-31,5,Prime Broker,527,2017-12-19,1
POL10054,2025-12-04,2026-12-03,255369,2,365,0.0,0,20,6128.86,Gandhi Nagar,Jammu,JK02,Tata,Tiago,Hatchback,CNG,1199,2021,2022-08-31,5,Prime Broker,527,2017-12-19,0
POL10055,2025-08-27,2026-08-26,658768,1,365,0.0,0,0,19763.04,Channi Himmat,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025,2025-01-23,1,POSP,82,2024-02-05,0
POL10056,2022-11-08,2023-11-07,349073,1,365,0.0,1,0,11519.41,Bari Brahmana,Samba,JK08,Tata,Nexon,SUV,Petrol,1199,2014,2014-12-13,12,Prime Broker,479,2022-05-05,1
POL10056,2023-11-08,2024-11-06,349073,2,365,25830.65,1,0,11519.41,Bari Brahmana,Samba,JK08,Tata,Nexon,SUV,Petrol,1199,2014,2014-12-13,12,Prime Broker,479,2022-05-05,1
POL10056,2024-11-07,2025-11-06,349073,3,365,0.0,1,0,11519.41,Bari Brahmana,Samba,JK08,Tata,Nexon,SUV,Petrol,1199,2014,2014-12-13,12,Prime Broker,479,2022-05-05,1
POL10056,2025-11-07,2026-11-06,349073,4,365,52719.71,0,0,10472.19,Bari Brahmana,Samba,JK08,Tata,Nexon,SUV,Petrol,1199,2014,2014-12-13,12,Prime Broker,479,2022-05-05,0
POL10057,2025-08-17,2026-08-16,449879,1,365,0.0,0,0,13496.37,Jewel Chowk,Jammu,JK02,Hyundai,Creta,SUV,Petrol,1497,2016,2017-01-11,10,POSP,97,2025-08-13,0
POL10058,2023-05-14,2024-05-12,1036288,1,365,0.0,0,0,31088.64,Kathua,Kathua,JK04,Toyota,Innova Crysta,MPV,Diesel,2393,2021,2021-11-18,5,Prime Broker,212,2021-11-20,1
POL10058,2024-05-13,2025-05-12,1036288,2,365,0.0,0,20,24870.91,Kathua,Kathua,JK04,Toyota,Innova Crysta,MPV,Diesel,2393,2021,2021-11-18,5,Prime Broker,212,2021-11-20,1
POL10058,2025-05-13,2026-05-12,1036288,3,365,112850.0,0,25,23316.48,Kathua,Kathua,JK04,Toyota,Innova Crysta,MPV,Diesel,2393,2021,2021-11-18,5,Prime Broker,212,2021-11-20,1
POL10058,2026-05-13,2027-05-12,1036288,4,365,0.0,0,35,20207.62,Kathua,Kathua,JK04,Toyota,Innova Crysta,MPV,Diesel,2393,2021,2021-11-18,5,Prime Broker,212,2021-11-20,0
POL10059,2025-12-31,2026-12-30,1080927,1,365,0.0,0,0,32427.81,Trikuta Nagar,Jammu,JK02,Hyundai,Verna,Sedan,Petrol,1497,2025,2026-06-03,1,Prime Broker,547,2023-04-10,0
POL10060,2023-10-25,2024-10-23,181632,1,365,17478.53,0,0,5448.96,Trikuta Nagar,Jammu,JK02,Tata,Punch,SUV,Petrol,1199,2015,2016-10-18,11,Prime Broker,346,2020-10-17,1
POL10060,2024-10-24,2025-10-23,181632,2,365,0.0,0,20,4359.17,Trikuta Nagar,Jammu,JK02,Tata,Punch,SUV,Petrol,1199,2015,2016-10-18,11,Prime Broker,346,2020-10-17,1
