Vehicle_ID,Customer_ID,Registration_Number,RTO,Make,Model,Vehicle_Type,Fuel_Type,Engine_CC,Manufacturing_Year,Vehicle_First_Registration_Date,Vehicle_Age,IDV
VEH10051,CUST10045,JK08CD1387,JK08,Mahindra,Scorpio-N,SUV,Diesel,2198,2022,2023-06-18,4,925842
VEH10052,CUST10046,JK02QC8760,JK02,Toyota,Fortuner,SUV,Petrol,2755,2025,2026-07-12,1,2788646
VEH10053,CUST10047,JK02MN4985,JK02,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2015,2015-03-16,11,98821
VEH10054,CUST10048,JK02RO5309,JK02,Tata,Tiago,Hatchback,CNG,1199,2021,2022-08-31,5,255369
VEH10055,CUST10049,JK02HT7401,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025,2025-01-23,1,658768
VEH10056,CUST10050,JK08HV6235,JK08,Tata,Nexon,SUV,Petrol,1199,2014,2014-12-13,12,349073
VEH10057,CUST10051,JK02EO9870,JK02,Hyundai,Creta,SUV,Petrol,1497,2016,2017-01-11,10,449879
VEH10058,CUST10052,JK04MZ2189,JK04,Toyota,Innova Crysta,MPV,Diesel,2393,2021,2021-11-18,5,1036288
VEH10059,CUST10053,JK02BI7465,JK02,Hyundai,Verna,Sedan,Petrol,1497,2025,2026-06-03,1,1080927
VEH10060,CUST10053,JK02TD9348,JK02,Tata,Punch,SUV,Petrol,1199,2015,2016-10-18,11,181632
VEH10061,CUST10054,JK02LA2086,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2021,2022-03-09,5,296867
VEH10062,CUST10055,JK08HN6359,JK08,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2014,2015-04-23,12,186776
VEH10063,CUST10056,JK04YP3248,JK04,Mahindra,Bolero,SUV,Diesel,1493,2022,2022-10-31,4,587584
VEH10064,CUST10056,JK04GG5444,JK04,Hyundai,Creta,SUV,Diesel,1497,2016,2017-02-10,10,309977
VEH10065,CUST10057,JK02ZE6488,JK02,Tata,Altroz,Hatchback,CNG,1199,2021,2021-11-21,5,411109
VEH10066,CUST10057,JK02TX3281,JK02,Tata,Punch,SUV,CNG,1199,2017,2018-03-17,9,292085
VEH10067,CUST10058,JK02PE5775,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2020,2021-03-10,6,358193
VEH10068,CUST10059,JK02GM5435,JK02,Kia,Sonet,SUV,Petrol,1197,2014,2015-02-08,12,241774
VEH10069,CUST10059,JK02DJ7440,JK02,Tata,Altroz,Hatchback,Diesel,1199,2025,2025-09-03,1,712661
VEH10070,CUST10060,JK02NK5353,JK02,Tata,Altroz,Hatchback,CNG,1199,2025,2026-03-28,1,558164
VEH10071,CUST10060,JK02ID3013,JK02,Hyundai,Verna,Sedan,Petrol,1497,2023,2023-02-06,3,638876
VEH10072,CUST10061,JK20YR4356,JK20,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2025,2025-12-19,1,389658
VEH10073,CUST10062,JK02HG4611,JK02,Tata,Altroz,Hatchback,CNG,1199,2020,2021-03-10,6,353412
VEH10074,CUST10063,JK12TE7279,JK12,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2024,2024-12-22,2,519595
VEH10075,CUST10063,JK12VD5033,JK12,Mahindra,Thar,SUV,Petrol,2184,2016,2016-11-29,10,533802
VEH10076,CUST10064,JK02AR8130,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2020,2021-05-13,6,230344
VEH10077,CUST10065,JK02SL7299,JK02,Kia,Sonet,SUV,Diesel,1197,2016,2017-04-04,10,228773
VEH10078,CUST10066,JK08IM7355,JK08,Hyundai,i20,Hatchback,Petrol,1197,2016,2017-04-15,10,217203
VEH10079,CUST10066,JK08EK4570,JK08,Maruti Suzuki,Brezza,SUV,CNG,1462,2023,2023-11-13,3,819732
VEH10080,CUST10067,JK02YR4998,JK02,Tata,Tiago,Hatchback,Petrol,1199,2020,2021-02-14,6,294245
VEH10081,CUST10068,JK02MS7949,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2025,2025-09-06,1,503370
VEH10082,CUST10069,JK02EW9473,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2020,2020-05-16,6,311012
VEH10083,CUST10069,JK02CX2513,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2020,2021-01-08,6,348922
VEH10084,CUST10070,JK02DL4047,JK02,Hyundai,i20,Hatchback,Petrol,1197,2024,2025-01-27,2,497230
VEH10085,CUST10070,JK02OU3882,JK02,Toyota,Innova Crysta,MPV,Diesel,2393,2023,2023-11-07,3,1145222
VEH10086,CUST10071,JK02BC3928,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2021,2022-02-22,5,240034
VEH10087,CUST10071,JK02GA3814,JK02,Hyundai,Venue,SUV,Petrol,1197,2018,2018-10-07,8,389527
VEH10088,CUST10072,JK11WG7016,JK11,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2020,2020-09-17,6,266321
VEH10089,CUST10073,JK17QT2098,JK17,Mahindra,Scorpio Classic,SUV,Diesel,2184,2011,2011-07-26,15,413646
VEH10090,CUST10074,JK02OS9602,JK02,Tata,Tiago,Hatchback,CNG,1199,2022,2023-05-17,4,506442
VEH10091,CUST10074,JK02EW3068,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2017,2018-02-04,9,342426
VEH10092,CUST10075,JK02JH1391,JK02,Tata,Tiago,Hatchback,Petrol,1199,2023,2023-05-03,3,474842
VEH10093,CUST10076,JK08WU3291,JK08,Mahindra,XUV700,SUV,Petrol,1999,2019,2019-09-15,7,733738
VEH10094,CUST10077,JK02MM8621,JK02,Toyota,Fortuner,SUV,Petrol,2755,2022,2022-06-20,4,1929216
VEH10095,CUST10077,JK02XX5840,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,2022-12-29,4,324575
VEH10096,CUST10078,JK02BZ8855,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2025,2025-11-12,1,599926
VEH10097,CUST10079,JK02BN9537,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022,2023-01-31,4,319133
VEH10098,CUST10079,JK02JU3020,JK02,Tata,Altroz,Hatchback,Petrol,1199,2015,2016-05-03,11,237335
VEH10099,CUST10079,JK02NZ3512,JK02,Mahindra,Bolero,SUV,Diesel,1493,2014,2015-06-14,12,270872
VEH10100,CUST10079,JK02DT4216,JK02,Mahindra,Thar,SUV,Petrol,2184,2025,2026-01-26,1,1057337
VEH10101,CUST10080,JK02FO7841,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2017,2017-12-19,9,183126
VEH10102,CUST10081,JK02GM2082,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2024,2024-11-29,2,353541
VEH10103,CUST10082,JK06QZ8682,JK06,Kia,Sonet,SUV,Diesel,1197,2013,2014-02-28,13,340550
VEH10104,CUST10083,JK14UU5018,JK14,Hyundai,i20,Hatchback,Petrol,1197,2024,2024-09-17,2,537637
VEH10105,CUST10084,JK08BP5221,JK08,Maruti Suzuki,Brezza,SUV,Petrol,1462,2025,2025-07-10,1,987499
VEH10106,CUST10084,JK08XY9883,JK08,Honda,Amaze,Sedan,Petrol,1199,2021,2022-02-13,5,448523
VEH10107,CUST10085,JK06QY2086,JK06,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2018,2018-08-09,8,203267
VEH10108,CUST10086,JK19YD4861,JK19,Renault,Kiger,SUV,Petrol,999,2021,2022-06-10,5,406251
VEH10109,CUST10087,JK02PE3608,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2020,2020-11-24,6,244368
VEH10110,CUST10088,JK02OM2512,JK02,Mahindra,Scorpio Classic,SUV,Diesel,2184,2014,2015-03-08,12,275547
VEH10111,CUST10089,JK02ZJ6853,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2019,2019-04-27,7,209235
VEH10112,CUST10090,JK02ZP4149,JK02,Renault,Kwid,Hatchback,Petrol,999,2017,2018-04-04,9,132047
VEH10113,CUST10091,JK08BP3271,JK08,Tata,Harrier,SUV,Diesel,1956,2025,2026-03-10,1,2107834
VEH10114,CUST10092,JK02AW3667,JK02,Tata,Altroz,Hatchback,Diesel,1199,2019,2020-04-28,7,301583
VEH10115,CUST10093,JK02UG6067,JK02,Kia,Sonet,SUV,Petrol,1197,2019,2019-11-30,7,574957
VEH10116,CUST10094,JK02DZ3066,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2024,2024-07-29,2,562963
VEH10117,CUST10095,JK02DQ5956,JK02,Hyundai,Verna,Sedan,Petrol,1497,2014,2015-03-17,12,295475
VEH10118,CUST10096,JK02BV5131,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2022,2023-07-18,4,463076
VEH10119,CUST10097,JK02TS6157,JK02,Hyundai,i20,Hatchback,Petrol,1197,2013,2014-10-21,13,125975
VEH10120,CUST10097,JK02YK8977,JK02,Toyota,Innova Hycross,MPV,Petrol,1987,2016,2016-06-26,10,675841
VEH10121,CUST10098,JK08XS7846,JK08,Hyundai,i20,Hatchback,Petrol,1197,2025,2025-07-24,1,781608
VEH10122,CUST10099,JK02MV9209,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2024,2025-02-22,2,542662
VEH10123,CUST10100,JK02LY1645,JK02,Hyundai,Venue,SUV,Diesel,1197,2022,2023-09-25,4,758978
VEH10124,CUST10101,JK02IK2028,JK02,Hyundai,i20,Hatchback,Petrol,1197,2022,2023-05-22,4,590378
VEH10125,CUST10101,JK02LH1634,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2017,2018-03-29,9,191738
VEH10126,CUST10101,JK02BY8360,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2024,2024-02-07,2,514770
VEH10127,CUST10101,JK02AW6016,JK02,Hyundai,Verna,Sedan,Petrol,1497,2018,2019-07-14,8,476011
VEH10128,CUST10102,JK14WY7373,JK14,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2021,2022-03-12,5,203725
VEH10129,CUST10103,JK02YA3127,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2014,2015-03-05,12,213055
VEH10130,CUST10104,JK02FE2599,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2018,2019-02-11,8,258987
VEH10131,CUST10105,JK02YB5424,JK02,Toyota,Innova Crysta,MPV,Diesel,2393,2012,2012-10-13,14,463669
VEH10132,CUST10105,JK02NM5559,JK02,Hyundai,Verna,Sedan,Petrol,1497,2017,2017-08-12,9,295490
VEH10133,CUST10105,JK02OG1298,JK02,Hyundai,Venue,SUV,Petrol,1197,2015,2015-12-09,11,217543
VEH10134,CUST10106,JK02MY6757,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025,2026-03-04,1,653356
VEH10135,CUST10107,JK02EQ2096,JK02,Hyundai,Venue,SUV,Diesel,1197,2012,2013-11-09,14,321134
VEH10136,CUST10108,JK02FB8420,JK02,Hyundai,i20,Hatchback,Petrol,1197,2024,2024-10-20,2,672091
VEH10137,CUST10109,JK02ZW2396,JK02,Mahindra,Scorpio-N,SUV,Petrol,2198,2024,2024-11-12,2,2194696
VEH10138,CUST10110,JK02DV6194,JK02,Hyundai,i20,Hatchback,Petrol,1197,2023,2024-05-01,3,364290
VEH10139,CUST10111,JK04RZ5231,JK04,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2017,2017-08-30,9,116701
VEH10140,CUST10111,JK04BI5912,JK04,Renault,Kiger,SUV,Petrol,999,2022,2022-06-26,4,583912
VEH10141,CUST10112,JK02JC5328,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2018,2018-09-05,8,246839
VEH10142,CUST10113,JK02IT9868,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2015,2016-02-25,11,159899
VEH10143,CUST10113,JK02XT1667,JK02,Tata,Nexon,SUV,Diesel,1199,2023,2024-06-03,3,687481
VEH10144,CUST10114,JK11YP2750,JK11,Maruti Suzuki,Swift,Hatchback,CNG,1197,2015,2015-07-19,11,171036
VEH10145,CUST10115,JK08CE2701,JK08,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2020,2020-05-06,6,264959
VEH10146,CUST10116,JK02NZ1086,JK02,Kia,Carens,MPV,Diesel,1497,2019,2019-08-23,7,639574
VEH10147,CUST10117,JK20FN6640,JK20,Maruti Suzuki,Brezza,SUV,CNG,1462,2024,2025-08-06,2,672977
VEH10148,CUST10118,JK02SG9153,JK02,Toyota,Innova Crysta,MPV,Diesel,2393,2025,2025-12-12,1,1810878
VEH10149,CUST10119,JK02DR3170,JK02,Tata,Harrier,SUV,Diesel,1956,2019,2019-05-01,7,891114
VEH10150,CUST10120,JK20OQ2814,JK20,Maruti Suzuki,Swift,Hatchback,CNG,1197,2017,2017-03-09,9,152453
VEH10151,CUST10121,JK02WI7735,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2022,2023-02-09,4,448599
VEH10152,CUST10122,JK14KE4977,JK14,Tata,Punch,SUV,CNG,1199,2021,2021-06-08,5,300801
VEH10153,CUST10123,JK14TN4339,JK14,Maruti Suzuki,Swift,Hatchback,CNG,1197,2022,2022-09-27,4,295698
VEH10154,CUST10124,JK04PJ4675,JK04,Maruti Suzuki,Swift,Hatchback,CNG,1197,2022,2023-05-18,4,362870
VEH10155,CUST10125,JK02XA4840,JK02,Hyundai,Verna,Sedan,Petrol,1497,2020,2021-04-16,6,411821
VEH10156,CUST10126,JK14RH9462,JK14,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2017,2017-12-23,9,194205
VEH10157,CUST10127,JK02GG9682,JK02,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2014,2015-08-13,12,107042
VEH10158,CUST10127,JK02TU7876,JK02,Honda,Amaze,Sedan,Petrol,1199,2020,2020-04-24,6,295590
VEH10159,CUST10127,JK02GU4268,JK02,Mahindra,XUV700,SUV,Diesel,1999,2020,2021-10-01,6,900681
VEH10160,CUST10128,JK02IW6847,JK02,Tata,Punch,SUV,CNG,1199,2022,2022-10-05,4,431589
VEH10161,CUST10129,JK02CX4789,JK02,Tata,Nexon,SUV,Diesel,1199,2022,2022-09-03,4,756580
VEH10162,CUST10130,JK04SF4514,JK04,Maruti Suzuki,Brezza,SUV,Petrol,1462,2024,2024-06-12,2,945122
VEH10163,CUST10130,JK04ZQ8370,JK04,Tata,Nexon,SUV,Petrol,1199,2015,2015-06-12,11,199513
VEH10164,CUST10130,JK04NQ4951,JK04,Kia,Carens,MPV,Petrol,1497,2025,2026-09-12,1,946330
VEH10165,CUST10130,JK04VF7747,JK04,Honda,Amaze,Sedan,Petrol,1199,2015,2015-10-18,11,225454
VEH10166,CUST10131,JK04YT3691,JK04,Hyundai,i20,Hatchback,Petrol,1197,2025,2025-12-10,1,722377
VEH10167,CUST10132,JK02GB3939,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2024,2024-06-13,2,593296
VEH10168,CUST10133,JK02AS4345,JK02,Hyundai,Venue,SUV,Diesel,1197,2023,2024-05-12,3,602984
VEH10169,CUST10134,JK02MA7136,JK02,Kia,Seltos,SUV,Petrol,1497,2025,2025-10-23,1,1001210
VEH10170,CUST10135,JK02KL3722,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023,2024-07-03,3,516271
VEH10171,CUST10136,JK02RF8357,JK02,Renault,Triber,MPV,Petrol,999,2022,2023-06-11,4,429319
VEH10172,CUST10137,JK04FH9772,JK04,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2022,2022-12-22,4,458476
VEH10173,CUST10138,JK02OK3215,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2025,2025-07-14,1,447169
VEH10174,CUST10139,JK17GO6556,JK17,Hyundai,Creta,SUV,Diesel,1497,2021,2021-06-22,5,737785
VEH10175,CUST10139,JK17BM4363,JK17,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2024,2025-03-14,2,617245
VEH10176,CUST10140,JK20SO6273,JK20,Hyundai,Verna,Sedan,Petrol,1497,2022,2023-04-30,4,500828
VEH10177,CUST10141,JK02RW1497,JK02,Kia,Carens,MPV,Petrol,1497,2025,2026-02-14,1,1082299
VEH10178,CUST10142,JK02LX7087,JK02,Hyundai,Creta,SUV,Petrol,1497,2025,2026-09-29,1,1406037
VEH10179,CUST10143,JK08RU9257,JK08,Maruti Suzuki,Brezza,SUV,Petrol,1462,2020,2020-07-29,6,443764
VEH10180,CUST10144,JK02OH9556,JK02,Tata,Harrier,SUV,Diesel,1956,2015,2015-05-05,11,612886
VEH10181,CUST10144,JK02IM9309,JK02,Tata,Nexon,SUV,Petrol,1199,2022,2022-11-04,4,421758
VEH10182,CUST10145,JK02II6922,JK02,Toyota,Glanza,Hatchback,CNG,1197,2018,2018-08-01,8,279311
VEH10183,CUST10146,JK02UN6269,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2022,2022-06-19,4,481453
VEH10184,CUST10147,JK08QB4406,JK08,Maruti Suzuki,Swift,Hatchback,CNG,1197,2024,2025-09-07,2,579245
VEH10185,CUST10148,JK02UY9615,JK02,Renault,Triber,MPV,Petrol,999,2024,2024-06-18,2,491342
VEH10186,CUST10149,JK02XX1081,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2023,2024-11-02,3,480924
VEH10187,CUST10149,JK02WG4176,JK02,Honda,Amaze,Sedan,Petrol,1199,2022,2023-03-14,4,485737
VEH10188,CUST10150,JK02DK5835,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2018,2019-08-15,8,214802
VEH10189,CUST10151,JK02TD9656,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2022,2022-06-18,4,565321
VEH10190,CUST10152,JK04YQ3566,JK04,Kia,Sonet,SUV,Petrol,1197,2023,2023-11-20,3,626956
VEH10191,CUST10152,JK04SJ9904,JK04,Hyundai,Venue,SUV,Petrol,1197,2019,2019-05-18,7,477061
VEH10192,CUST10153,JK06WN9689,JK06,Hyundai,i20,Hatchback,Petrol,1197,2021,2021-05-20,5,346566
VEH10193,CUST10154,JK02EZ6432,JK02,Mahindra,Bolero,SUV,Diesel,1493,2018,2019-01-21,8,368620
VEH10194,CUST10155,JK17ZH4352,JK17,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2015,2015-10-23,11,168971
VEH10195,CUST10156,JK06KF3316,JK06,Maruti Suzuki,Swift,Hatchback,CNG,1197,2017,2018-02-03,9,202765
VEH10196,CUST10157,JK08OP4254,JK08,Toyota,Innova Crysta,MPV,Diesel,2393,2024,2025-02-02,2,2106413
VEH10197,CUST10158,JK02ZB7662,JK02,Hyundai,i20,Hatchback,Petrol,1197,2016,2017-01-14,10,224404
VEH10198,CUST10159,JK02MN7671,JK02,Renault,Kwid,Hatchback,Petrol,999,2018,2019-09-22,8,106958
VEH10199,CUST10159,JK02VZ1481,JK02,Honda,City,Sedan,Petrol,1498,2020,2021-01-23,6,664399
VEH10200,CUST10159,JK02GJ8737,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2020,2021-01-01,6,350996
VEH10201,CUST10160,JK08RK6665,JK08,Honda,Elevate,SUV,Petrol,1498,2024,2024-06-10,2,983324
VEH10202,CUST10160,JK08CH4790,JK08,Toyota,Fortuner,SUV,Diesel,2755,2022,2022-08-24,4,2824951
VEH10203,CUST10161,JK08YP9287,JK08,Kia,Seltos,SUV,Diesel,1497,2024,2024-09-02,2,1366557
VEH10204,CUST10162,JK19SW5816,JK19,Maruti Suzuki,Swift,Hatchback,CNG,1197,2024,2024-10-05,2,584441
VEH10205,CUST10163,JK12MK8133,JK12,Kia,Seltos,SUV,Petrol,1497,2012,2013-08-24,14,311086
VEH10206,CUST10164,JK08YY1907,JK08,Hyundai,Creta,SUV,Diesel,1497,2021,2021-10-28,5,768466
VEH10207,CUST10165,JK19KR2190,JK19,Toyota,Innova Crysta,MPV,Diesel,2393,2023,2024-01-27,3,1440911
VEH10208,CUST10166,JK11VN4004,JK11,Maruti Suzuki,Swift,Hatchback,CNG,1197,2022,2023-01-02,4,373527
VEH10209,CUST10167,JK02QZ5321,JK02,Tata,Punch,SUV,CNG,1199,2023,2023-05-07,3,748965
VEH10210,CUST10168,JK02UI4889,JK02,Kia,Sonet,SUV,Petrol,1197,2022,2023-08-15,4,676349
VEH10211,CUST10169,JK11PD2678,JK11,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2019,2020-08-12,7,267020
VEH10212,CUST10170,JK04UH3978,JK04,Hyundai,Creta,SUV,Petrol,1497,2014,2015-04-24,12,330606
VEH10213,CUST10170,JK04QQ7158,JK04,Mahindra,Bolero,SUV,Diesel,1493,2016,2017-08-19,10,186751
VEH10214,CUST10171,JK02PQ5066,JK02,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2024,2025-03-03,2,489898
VEH10215,CUST10171,JK02YX2775,JK02,Toyota,Innova Hycross,MPV,Hybrid,1987,2024,2024-06-21,2,2438155
