Policy_Number,IMD_Code,RID,RED,IDV,Policy_Tenure,Total_Claim_Amount,Claim_Count,NCB,Premium,Customer_Area,Make,Model,Vehicle_Type,Fuel_Type,Engine_CC,Vehicle_First_Registration_Date,Vehicle_Age,Channel_Type,Portfolio_Size,Renewed,Last_Remark,Previous_NCB,Previous_Claim_Count,Years_With_Channel,Premium_to_IDV_Ratio
POL10012,IMD10144,2024-11-30,2025-11-29,538591,3,0.0,0,0,16157.73,Katra,Hyundai,i20,Hatchback,Petrol,1197,2022-10-06,4,Dealer,60,1,Premium accepted,20.0,1.0,4,0.03
POL10012,IMD10144,2025-11-30,2026-11-29,538591,4,128054.09,0,20,12926.18,Katra,Hyundai,i20,Hatchback,Petrol,1197,2022-10-06,4,Dealer,60,0,Claim experience poor,0.0,0.0,5,0.024
POL10013,IMD10461,2025-07-16,2026-07-15,465476,1,57085.13,0,0,13964.28,Rajouri,Honda,Amaze,Sedan,Petrol,1199,2024-03-18,3,Prime Broker,541,0,Comparing with ICICI,0.0,0.0,0,0.03
POL10014,IMD10405,2025-08-18,2026-08-17,453687,1,0.0,0,0,13610.61,Bishnah,Maruti Suzuki,Brezza,SUV,CNG,1462,2022-10-10,5,Bancassurance,586,0,Premium too high,0.0,0.0,8,0.03
POL10015,IMD10355,2025-06-10,2026-06-09,305200,1,60467.25,0,0,9156.0,Rajouri,Tata,Nexon,SUV,Petrol,1199,2016-01-24,11,Bancassurance,619,1,Premium accepted,0.0,0.0,3,0.03
POL10015,IMD10355,2026-06-10,2027-06-09,305200,2,0.0,0,20,7324.8,Rajouri,Tata,Nexon,SUV,Petrol,1199,2016-01-24,11,Bancassurance,619,0,Comparing with ICICI,0.0,0.0,4,0.024
POL10016,IMD10221,2025-12-10,2026-12-09,608891,1,0.0,0,0,18266.73,Katra,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025-12-02,1,Prime Broker,564,0,Payment delayed,0.0,0.0,2,0.03
POL10017,IMD10399,2025-12-09,2026-12-08,374056,1,0.0,0,0,11221.68,Channi Himmat,Maruti Suzuki,Brezza,SUV,Petrol,1462,2019-11-11,7,Prime Broker,599,0,Premium too high,0.0,0.0,1,0.03
POL10018,IMD10254,2025-12-31,2026-12-30,1057590,1,0.0,0,0,31727.7,Trikuta Nagar,Mahindra,Thar,SUV,Petrol,2184,2026-08-10,1,Prime Broker,293,0,Premium too high,0.0,0.0,1,0.03
POL10019,IMD10055,2025-06-11,2026-06-10,537261,1,0.0,0,0,16117.83,Trikuta Nagar,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2024-06-11,3,Prime Broker,289,1,Payment expected today,0.0,0.0,3,0.03
POL10019,IMD10055,2026-06-11,2027-06-10,537261,2,0.0,0,20,12894.26,Trikuta Nagar,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2024-06-11,3,Prime Broker,289,0,Comparing with ICICI,0.0,0.0,4,0.024
POL10020,IMD10314,2025-07-19,2026-07-18,707634,1,78393.78,0,0,21229.02,Janipur,Hyundai,Verna,Sedan,Petrol,1497,2024-10-19,2,Prime Broker,514,0,Claim experience poor,0.0,0.0,5,0.03
POL10021,IMD10261,2025-07-01,2026-06-30,197910,1,0.0,0,0,5937.3,Padder,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2016-05-12,11,POSP,73,1,Customer confirmed renewal,0.0,0.0,0,0.03
POL10021,IMD10261,2026-07-01,2027-06-30,197910,2,0.0,0,20,4749.84,Padder,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2016-05-12,11,POSP,73,0,Premium too high,0.0,0.0,1,0.024
POL10022,IMD10106,2024-07-06,2025-07-05,821512,1,0.0,0,0,24645.36,Bhaderwah,Hyundai,Venue,SUV,Diesel,1197,2023-07-13,3,POSP,45,1,Waiting for payment,0.0,0.0,5,0.03
POL10022,IMD10106,2025-07-06,2026-07-05,821512,2,0.0,0,20,19716.29,Bhaderwah,Hyundai,Venue,SUV,Diesel,1197,2023-07-13,3,POSP,45,0,Payment delayed,0.0,0.0,6,0.024
POL10023,IMD10364,2025-06-20,2026-06-19,2206438,1,0.0,0,0,66193.14,Banihal,Tata,Harrier,SUV,Diesel,1956,2025-06-09,1,Agency,93,1,Payment expected today,0.0,0.0,1,0.03
POL10023,IMD10364,2026-06-20,2027-06-19,2206438,2,0.0,0,20,52954.51,Banihal,Tata,Harrier,SUV,Diesel,1956,2025-06-09,1,Agency,93,0,Premium too high,0.0,0.0,2,0.024
POL10024,IMD10239,2023-04-05,2024-04-03,368200,1,0.0,0,0,11046.0,Bakshi Nagar,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023-03-18,4,Agency,258,1,Customer confirmed renewal,0.0,0.0,3,0.03
POL10024,IMD10239,2024-04-04,2025-04-03,368200,2,40844.45,0,20,8836.8,Bakshi Nagar,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023-03-18,4,Agency,258,1,Renewal in progress,0.0,0.0,4,0.024
POL10024,IMD10239,2025-04-04,2026-04-03,368200,3,0.0,0,25,8284.5,Bakshi Nagar,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023-03-18,4,Agency,258,1,Waiting for payment,20.0,0.0,5,0.0225
POL10024,IMD10239,2026-04-04,2027-04-03,368200,4,0.0,0,35,7179.9,Bakshi Nagar,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023-03-18,4,Agency,258,0,No response after follow-up,25.0,0.0,6,0.0195
POL10025,IMD10267,2025-06-26,2026-06-25,352433,1,0.0,0,0,10572.99,Akhnoor,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022-05-29,5,POSP,96,1,Long-term customer,0.0,0.0,4,0.03
POL10025,IMD10267,2026-06-26,2027-06-25,352433,2,0.0,0,20,8458.39,Akhnoor,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022-05-29,5,POSP,96,0,Vehicle sold,0.0,0.0,5,0.024
POL10026,IMD10360,2025-10-27,2026-10-26,976990,1,0.0,1,0,32240.67,Narwal,Maruti Suzuki,Brezza,SUV,Petrol,1462,2025-02-16,1,Prime Broker,488,0,Premium too high,0.0,0.0,4,0.033
POL10027,IMD10373,2025-12-31,2026-12-30,528581,1,61569.29,0,0,15857.43,Reasi,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2026-05-03,1,Agency,92,0,Comparing with ICICI,0.0,0.0,2,0.03
POL10028,IMD10082,2024-11-18,2025-11-17,114325,1,0.0,1,0,3772.73,Channi Himmat,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2015-09-16,11,Prime Broker,541,1,Long-term customer,0.0,0.0,1,0.033
POL10028,IMD10082,2025-11-18,2026-11-17,114325,2,0.0,0,0,3429.75,Channi Himmat,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2015-09-16,11,Prime Broker,541,0,Customer not interested,0.0,1.0,2,0.03
POL10029,IMD10165,2025-12-31,2026-12-30,1111749,1,0.0,0,0,33352.47,Katra,Tata,Nexon,SUV,Diesel,1199,2025-06-24,1,Agency,149,0,Premium too high,0.0,0.0,6,0.03
POL10030,IMD10239,2025-08-26,2026-08-25,335586,1,0.0,0,0,10067.58,Gandhi Nagar,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2025-01-31,2,Agency,258,0,Agent lost customer,0.0,0.0,5,0.03
POL10031,IMD10180,2025-02-13,2026-02-12,365017,1,0.0,0,0,10950.51,Billawar,Kia,Sonet,SUV,Diesel,1197,2019-10-14,7,Bancassurance,714,1,Customer confirmed renewal,0.0,0.0,2,0.03
POL10031,IMD10180,2026-02-13,2027-02-12,365017,2,0.0,0,20,8760.41,Billawar,Kia,Sonet,SUV,Diesel,1197,2019-10-14,7,Bancassurance,714,0,Vehicle sold,0.0,0.0,3,0.024
POL10032,IMD10365,2022-10-24,2023-10-23,192914,1,0.0,0,0,5787.42,Mendhar,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018-08-17,9,POSP,72,1,Documents shared,0.0,0.0,4,0.03
POL10032,IMD10365,2023-10-24,2024-10-22,192914,2,0.0,0,20,4629.94,Mendhar,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018-08-17,9,POSP,72,1,Renewal in progress,0.0,0.0,5,0.024
POL10032,IMD10365,2024-10-23,2025-10-22,192914,3,0.0,0,25,4340.57,Mendhar,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018-08-17,9,POSP,72,1,Customer satisfied,20.0,0.0,6,0.0225
POL10032,IMD10365,2025-10-23,2026-10-22,192914,4,0.0,2,35,4514.19,Mendhar,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018-08-17,9,POSP,72,0,Comparing with ICICI,25.0,0.0,7,0.0234
POL10033,IMD10017,2024-03-15,2025-03-14,593399,1,535624.23,0,0,17801.97,Mendhar,Honda,Amaze,Sedan,Petrol,1199,2023-08-27,3,Bancassurance,582,1,Customer confirmed renewal,0.0,0.0,2,0.03
POL10033,IMD10017,2025-03-15,2026-03-14,593399,2,0.0,0,20,14241.58,Mendhar,Honda,Amaze,Sedan,Petrol,1199,2023-08-27,3,Bancassurance,582,1,Renewal in progress,0.0,0.0,3,0.024
POL10033,IMD10017,2026-03-15,2027-03-14,593399,3,0.0,0,25,13351.48,Mendhar,Honda,Amaze,Sedan,Petrol,1199,2023-08-27,3,Bancassurance,582,0,Renewed with competitor,20.0,0.0,4,0.0225
POL10034,IMD10094,2025-04-30,2026-04-29,190782,1,0.0,0,0,5723.46,Udhampur,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018-09-11,8,Prime Broker,403,1,Documents shared,0.0,0.0,0,0.03
POL10034,IMD10094,2026-04-30,2027-04-29,190782,2,23733.46,1,20,5036.64,Udhampur,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018-09-11,8,Prime Broker,403,0,Comparing competitor quotes,0.0,0.0,1,0.0264
POL10035,IMD10129,2025-05-18,2026-05-17,266280,1,35874.43,0,0,7988.4,Talab Tillo,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2020-02-18,7,POSP,31,1,Premium accepted,0.0,0.0,1,0.03
POL10035,IMD10129,2026-05-18,2027-05-17,266280,2,0.0,0,20,6390.72,Talab Tillo,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2020-02-18,7,POSP,31,0,Agent lost customer,0.0,0.0,2,0.024
POL10036,IMD10335,2019-09-26,2020-09-24,165984,1,0.0,0,0,4979.52,Surankote,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016-08-24,10,Bancassurance,644,1,Renewal in progress,0.0,0.0,0,0.03
POL10036,IMD10335,2020-09-25,2021-09-24,165984,2,0.0,1,20,4381.98,Surankote,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016-08-24,10,Bancassurance,644,1,Customer satisfied,0.0,0.0,1,0.0264
POL10036,IMD10335,2021-09-25,2022-09-24,165984,3,8843.97,0,0,4979.52,Surankote,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016-08-24,10,Bancassurance,644,1,Payment expected today,20.0,1.0,2,0.03
POL10036,IMD10335,2022-09-25,2023-09-24,165984,4,0.0,0,20,3983.62,Surankote,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016-08-24,10,Bancassurance,644,1,Payment expected today,0.0,0.0,3,0.024
POL10036,IMD10335,2023-09-25,2024-09-23,165984,5,41847.43,0,25,3734.64,Surankote,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016-08-24,10,Bancassurance,644,1,Waiting for payment,20.0,0.0,4,0.0225
POL10036,IMD10335,2024-09-24,2025-09-23,165984,6,0.0,0,35,3236.69,Surankote,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016-08-24,10,Bancassurance,644,1,Premium accepted,25.0,0.0,5,0.0195
POL10036,IMD10335,2025-09-24,2026-09-23,165984,7,0.0,0,45,2738.74,Surankote,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016-08-24,10,Bancassurance,644,0,Agent lost customer,35.0,0.0,6,0.0165
POL10037,IMD10371,2025-02-09,2026-02-08,258860,1,0.0,0,0,7765.8,Akhnoor,Tata,Punch,SUV,Petrol,1199,2018-02-02,9,Prime Broker,333,1,Premium accepted,0.0,0.0,1,0.03
POL10037,IMD10371,2026-02-09,2027-02-08,258860,2,27867.74,0,20,6212.64,Akhnoor,Tata,Punch,SUV,Petrol,1199,2018-02-02,9,Prime Broker,333,0,Premium too high,0.0,0.0,2,0.024
POL10038,IMD10358,2024-12-18,2025-12-17,357910,1,0.0,0,0,10737.3,Canal Road,Hyundai,Creta,SUV,Diesel,1497,2019-05-13,8,Prime Broker,437,1,Premium accepted,0.0,0.0,1,0.03
POL10038,IMD10358,2025-12-18,2026-12-17,357910,2,101244.14,0,20,8589.84,Canal Road,Hyundai,Creta,SUV,Diesel,1497,2019-05-13,8,Prime Broker,437,0,Payment delayed,0.0,0.0,2,0.024
POL10039,IMD10313,2025-08-20,2026-08-19,749426,1,0.0,0,0,22482.78,Rehari,Kia,Sonet,SUV,Petrol,1197,2025-01-18,2,POSP,31,0,Customer not interested,0.0,0.0,6,0.03
POL10040,IMD10007,2023-12-13,2024-12-11,286074,1,38742.27,0,0,8582.22,Satwari,Hyundai,Venue,SUV,Diesel,1197,2017-09-10,9,Prime Broker,233,1,Documents shared,0.0,0.0,1,0.03
POL10040,IMD10007,2024-12-12,2025-12-11,286074,2,0.0,1,20,7552.35,Satwari,Hyundai,Venue,SUV,Diesel,1197,2017-09-10,9,Prime Broker,233,1,Documents shared,0.0,0.0,2,0.0264
POL10040,IMD10007,2025-12-12,2026-12-11,286074,3,0.0,0,0,8582.22,Satwari,Hyundai,Venue,SUV,Diesel,1197,2017-09-10,9,Prime Broker,233,0,Premium too high,20.0,1.0,3,0.03
POL10041,IMD10113,2025-12-26,2026-12-25,507761,1,75714.22,0,0,15232.83,Akhnoor,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025-03-12,1,Bancassurance,655,0,Renewed with competitor,0.0,0.0,0,0.03
POL10042,IMD10009,2025-02-23,2026-02-22,554919,1,0.0,0,0,16647.57,Katra,Mahindra,Scorpio-N,SUV,Diesel,2198,2014-11-18,12,Prime Broker,479,1,Waiting for payment,0.0,0.0,3,0.03
POL10042,IMD10009,2026-02-23,2027-02-22,554919,2,0.0,0,20,13318.06,Katra,Mahindra,Scorpio-N,SUV,Diesel,2198,2014-11-18,12,Prime Broker,479,0,Premium too high,0.0,0.0,4,0.024
POL10043,IMD10335,2024-09-02,2025-09-01,329872,1,0.0,0,0,9896.16,Katra,Hyundai,Venue,SUV,Diesel,1197,2021-09-14,6,Bancassurance,644,1,Documents shared,0.0,0.0,5,0.03
POL10043,IMD10335,2025-09-02,2026-09-01,329872,2,0.0,0,20,7916.93,Katra,Hyundai,Venue,SUV,Diesel,1197,2021-09-14,6,Bancassurance,644,0,Agent lost customer,0.0,0.0,6,0.024
POL10044,IMD10434,2024-09-28,2025-09-27,248169,1,0.0,0,0,7445.07,Hiranagar,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2019-02-01,8,Agency,203,1,Customer satisfied,0.0,0.0,1,0.03
POL10044,IMD10434,2025-09-28,2026-09-27,248169,2,0.0,1,20,6551.66,Hiranagar,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2019-02-01,8,Agency,203,0,Comparing with ICICI,0.0,0.0,2,0.0264
POL10045,IMD10088,2023-07-25,2024-07-23,467838,1,267045.74,0,0,14035.14,Vijaypur,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2022-10-15,4,Bancassurance,764,1,Renewal in progress,0.0,0.0,7,0.03
POL10045,IMD10088,2024-07-24,2025-07-23,467838,2,0.0,0,20,11228.11,Vijaypur,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2022-10-15,4,Bancassurance,764,1,Waiting for payment,0.0,0.0,8,0.024
POL10045,IMD10088,2025-07-24,2026-07-23,467838,3,0.0,1,25,11578.99,Vijaypur,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2022-10-15,4,Bancassurance,764,0,Claim experience poor,20.0,0.0,9,0.0247
POL10046,IMD10188,2025-06-25,2026-06-24,575761,1,0.0,0,0,17272.83,Kathua,Tata,Nexon,SUV,Diesel,1199,2021-01-14,6,Prime Broker,583,1,Premium accepted,0.0,0.0,6,0.03
POL10046,IMD10188,2026-06-25,2027-06-24,575761,2,0.0,2,20,16581.92,Kathua,Tata,Nexon,SUV,Diesel,1199,2021-01-14,6,Prime Broker,583,0,Comparing competitor quotes,0.0,0.0,7,0.0288
POL10047,IMD10472,2025-01-26,2026-01-25,1144710,1,0.0,0,0,34341.3,Kathua,Mahindra,XUV700,SUV,Petrol,1999,2020-10-07,7,Prime Broker,325,1,Customer confirmed renewal,0.0,0.0,5,0.03
POL10047,IMD10472,2026-01-26,2027-01-25,1144710,2,311672.86,0,20,27473.04,Kathua,Mahindra,XUV700,SUV,Petrol,1999,2020-10-07,7,Prime Broker,325,0,Premium too high,0.0,0.0,6,0.024
POL10048,IMD10358,2024-09-03,2025-09-02,536734,1,0.0,0,0,16102.02,Janipur,Hyundai,Verna,Sedan,Petrol,1497,2019-11-04,7,Prime Broker,437,1,Documents shared,0.0,0.0,1,0.03
POL10048,IMD10358,2025-09-03,2026-09-02,536734,2,0.0,0,20,12881.62,Janipur,Hyundai,Verna,Sedan,Petrol,1497,2019-11-04,7,Prime Broker,437,0,Comparing with ICICI,0.0,0.0,2,0.024
POL10049,IMD10415,2024-03-14,2025-03-13,3013360,1,439515.73,0,0,90400.8,Talab Tillo,Toyota,Fortuner,SUV,Diesel,2755,2022-12-14,4,POSP,94,1,Long-term customer,0.0,0.0,7,0.03
POL10049,IMD10415,2025-03-14,2026-03-13,3013360,2,0.0,0,20,72320.64,Talab Tillo,Toyota,Fortuner,SUV,Diesel,2755,2022-12-14,4,POSP,94,1,Customer confirmed renewal,0.0,0.0,8,0.024
POL10049,IMD10415,2026-03-14,2027-03-13,3013360,3,0.0,0,25,67800.6,Talab Tillo,Toyota,Fortuner,SUV,Diesel,2755,2022-12-14,4,POSP,94,0,Premium too high,20.0,0.0,9,0.0225
POL10050,IMD10067,2025-08-10,2026-08-09,699400,1,0.0,0,0,20982.0,Katra,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025-07-29,2,Agency,212,0,Payment delayed,0.0,0.0,0,0.03
POL10051,IMD10009,2023-09-28,2024-09-26,925842,1,0.0,0,0,27775.26,Bari Brahmana,Mahindra,Scorpio-N,SUV,Diesel,2198,2023-06-18,4,Prime Broker,479,1,Premium accepted,0.0,0.0,1,0.03
POL10051,IMD10009,2024-09-27,2025-09-26,925842,2,0.0,0,20,22220.21,Bari Brahmana,Mahindra,Scorpio-N,SUV,Diesel,2198,2023-06-18,4,Prime Broker,479,1,Payment expected today,0.0,0.0,2,0.024
POL10051,IMD10009,2025-09-27,2026-09-26,925842,3,54951.59,1,25,22914.59,Bari Brahmana,Mahindra,Scorpio-N,SUV,Diesel,2198,2023-06-18,4,Prime Broker,479,0,Comparing with ICICI,20.0,0.0,3,0.0248
POL10052,IMD10093,2025-12-31,2026-12-30,2788646,1,1838147.48,0,0,83659.38,Shastri Nagar,Toyota,Fortuner,SUV,Petrol,2755,2026-07-12,1,POSP,49,0,Premium too high,0.0,0.0,1,0.03
POL10053,IMD10329,2025-12-23,2026-12-22,98821,1,0.0,0,0,2964.63,Trikuta Nagar,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2015-03-16,11,Prime Broker,585,0,Vehicle sold,0.0,0.0,0,0.03
POL10054,IMD10361,2024-12-04,2025-12-03,255369,1,84849.14,0,0,7661.07,Gandhi Nagar,Tata,Tiago,Hatchback,CNG,1199,2022-08-31,5,Prime Broker,527,1,Customer confirmed renewal,0.0,0.0,7,0.03
POL10054,IMD10361,2025-12-04,2026-12-03,255369,2,0.0,0,20,6128.86,Gandhi Nagar,Tata,Tiago,Hatchback,CNG,1199,2022-08-31,5,Prime Broker,527,0,No response after follow-up,0.0,0.0,8,0.024
POL10055,IMD10367,2025-08-27,2026-08-26,658768,1,0.0,0,0,19763.04,Channi Himmat,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025-01-23,1,POSP,82,0,Payment delayed,0.0,0.0,1,0.03
POL10056,IMD10009,2022-11-08,2023-11-07,349073,1,0.0,1,0,11519.41,Bari Brahmana,Tata,Nexon,SUV,Petrol,1199,2014-12-13,12,Prime Broker,479,1,Waiting for payment,0.0,0.0,0,0.033
POL10056,IMD10009,2023-11-08,2024-11-06,349073,2,25830.65,1,0,11519.41,Bari Brahmana,Tata,Nexon,SUV,Petrol,1199,2014-12-13,12,Prime Broker,479,1,Long-term customer,0.0,1.0,1,0.033
POL10056,IMD10009,2024-11-07,2025-11-06,349073,3,0.0,1,0,11519.41,Bari Brahmana,Tata,Nexon,SUV,Petrol,1199,2014-12-13,12,Prime Broker,479,1,Documents shared,0.0,1.0,2,0.033
POL10056,IMD10009,2025-11-07,2026-11-06,349073,4,52719.71,0,0,10472.19,Bari Brahmana,Tata,Nexon,SUV,Petrol,1199,2014-12-13,12,Prime Broker,479,0,Customer not interested,0.0,1.0,3,0.03
